Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Beverly Hills",10,6,2212,1671,3893,
"Bewong",0,0,14,9,25,
"Bexhill",0,0,118,76,196,
"Bexley",15,11,4049,2919,7004,
"Bexley North",10,0,911,690,1609,
"Biala",0,0,16,10,20,
"Bibbenluke",0,0,24,17,42,
"Biddon",0,0,26,21,40,
"Bidgeemia",0,0,13,4,15,
"Bidwill (NSW)",0,3,500,1115,1619,
"Bielsdown Hills",0,0,25,13,39,
"Big Hill (NSW)",0,0,13,8,19,
"Big Jacks Creek",0,0,11,5,22,
"Big Ridge",0,0,0,8,5,
"Big Springs",0,0,29,15,42,
"Bigga",0,0,52,74,125,
"Bilambil",0,0,91,70,157,
"Bilambil Heights",5,4,759,596,1362,
"Bilbul",0,0,124,83,209,
"Bilgola Beach",0,0,72,33,108,
"Bilgola Plateau",4,3,919,360,1280,
"Billeroy",0,0,12,3,9,
"Billilingra",0,0,4,4,4,
"Billimari",0,0,32,21,57,
"Billinudgel",0,0,45,59,98,
"Billys Creek",0,0,12,13,29,
"Billywillinga",0,0,44,18,73,
"Bilpin",5,0,157,101,261,
"Bimberi",0,0,0,0,0,
"Bimbi",0,0,16,19,38,
"Bimbimbie",0,0,25,21,47,
"Binalong",0,0,128,105,238,
"Binda",0,0,62,55,125,
"Bindera",0,0,5,14,20,
"Bingara",0,0,286,425,712,
"Bingeebeebra Creek",0,0,4,7,13,
"Bingie",0,0,47,41,88,
"Bingleburra",0,0,5,8,12,
"Biniguy",0,0,31,34,63,
"Binjura",0,0,75,43,122,
"Binna Burra (NSW)",0,0,39,32,74,
"Binnaway",0,0,121,187,308,
"Binya",0,0,35,17,44,
"Birchgrove",11,13,768,635,1431,
"Birdwood (NSW)",0,0,9,14,19,
"Birganbigil",0,0,11,8,21,
"Birmingham Gardens",0,0,327,629,960,
"Birriwa",0,0,11,16,23,
"Birrong",0,3,599,498,1101,
"Bishops Bridge",0,0,60,31,91,
"Bithramere",0,0,41,35,77,
"Black Creek (Port Macquarie-Hastings - NSW)",0,0,17,6,25,
