Australian Bureau of Statistics

"2016 Census - Selected Family Characteristics"
"SSC by SSCF Same-Sex Couple Indicator"
"Counting: Families Location on Census Night"

Filters:
"Default Summation","Families Location on Census Night"

"SSCF Same-Sex Couple Indicator","Male same-sex couple","Female same-sex couple","Opposite-sex couple","Not applicable","Total",
"Dumpy Creek",0,0,6,0,6,
"Dundarrah",0,0,0,0,0,
"Dundas (Qld)",0,5,18,15,28,
"Dundathu",0,0,60,30,86,
"Dundowran",0,0,226,132,361,
"Dundowran Beach",0,0,586,250,846,
"Dunk",0,0,0,5,5,
"Dunkeld (Qld)",0,0,12,6,19,
"Dunmora",0,0,53,28,85,
"Dunmore (Qld)",0,0,3,8,13,
"Dunnrock",0,0,14,14,36,
"Dunrobin (Qld)",0,0,8,8,9,
"Dunwich",0,0,145,240,386,
"Durack (Qld)",5,0,1411,1601,3021,
"Durah",0,0,0,0,0,
"Durham",0,0,0,10,12,
"Durham Downs",0,0,5,4,11,
"Durong",0,0,47,68,115,
"Dutton Park",7,3,324,541,876,
"Dutton River",0,0,4,13,19,
"Dykehead",0,0,4,0,5,
"Dynevor",0,0,8,3,15,
"Dysart (Qld)",0,3,512,528,1047,
"Eagle Farm",0,0,0,0,0,
"Eagleby",3,13,2440,3313,5771,
"Eaglefield",0,0,0,0,0,
"Earlville",9,5,733,1319,2065,
"East Barron",0,0,53,65,120,
"East Brisbane",23,16,1048,1653,2741,
"East Cooyar",0,0,6,9,8,
"East Creek",0,0,0,0,0,
"East Deep Creek",0,0,153,120,270,
"East End",0,0,19,12,29,
"East Feluga",0,0,68,38,104,
"East Greenmount",0,0,98,57,153,
"East Haldon",0,0,10,5,9,
"East Innisfail",0,0,340,467,805,
"East Ipswich",5,9,415,639,1066,
"East Mackay",4,0,700,810,1517,
"East Nanango",0,0,71,42,113,
"East Palmerston",0,0,47,31,81,
"East Russell",0,0,11,34,45,
"East Toowoomba",10,5,954,1449,2420,
"East Trinity",0,0,44,46,89,
"Eastern Heights",3,0,718,873,1597,
"Eaton (Qld)",0,0,13,6,18,
"Eatons Hill",8,3,2009,631,2652,
"Ebbw Vale",0,0,93,133,230,
"Ebenezer (Qld)",0,0,75,55,124,
"Edens Landing",3,6,1008,955,1969,
"Edge Hill",11,4,769,1019,1804,
"Edmonton",5,9,2068,2048,4132,
"Edward River",0,0,0,0,0,
"Eerwah Vale",0,0,141,117,260,
"Egypt",0,0,0,5,11,
"Eidsvold",0,0,97,160,257,
"Eidsvold East",0,0,7,0,5,
"Eidsvold West",0,0,17,12,31,
"Eight Mile Creek (Qld)",0,0,0,0,0,
"Eight Mile Plains",6,9,3388,2793,6197,
"Eimeo",0,0,779,408,1189,
"Einasleigh",0,0,19,42,56,
"El Arish",0,0,84,87,170,
"Elaman Creek",0,0,17,18,33,
"Elanora",4,9,2759,2153,4921,
"Elbow Valley",0,0,26,17,41,
"Electra",0,0,34,12,42,
"Elgin (Qld)",0,0,3,7,13,
"Elgin Vale",0,0,3,6,13,
"Eli Waters",0,0,786,603,1391,
"Elimbah",0,0,945,459,1409,
"Ellangowan (Qld)",0,0,37,13,49,
"Ellen Grove",0,0,458,617,1072,
"Ellerbeck",0,0,53,62,114,
"Ellesmere",0,0,87,67,152,
"Ellinjaa",0,0,10,7,13,
"Ellinthorp",0,0,8,6,12,
"Elliott (Qld)",0,0,28,35,59,
"Elliott Heads",0,0,262,314,577,
"Ellis Beach",0,0,4,95,92,
"Elphinstone (Isaac - Qld)",0,0,0,52,57,
"Elphinstone (Toowoomba - Qld)",0,0,20,9,29,
"Emerald (Qld)",3,7,2976,2610,5603,
"Emu Creek (Qld)",0,0,23,10,35,
"Emu Park",0,3,461,600,1064,
"Emu Vale",0,0,51,37,89,
"England Creek",0,0,3,12,12,
"Enoggera",8,8,903,1043,1956,
"Enoggera Reservoir",0,0,0,11,13,
"Epsom (Qld)",0,0,3,6,9,
"Erakala",0,0,150,49,202,
"Ernestina",0,0,3,3,10,
"Eromanga",0,0,24,43,63,
"Erub Island",0,0,43,62,105,
"Esk (Qld)",0,0,394,451,845,
"Eskdale (Qld)",0,0,11,6,16,
"Esmeralda",0,0,0,7,11,
"Etna Creek",0,0,54,45,96,
"Eton",0,0,155,108,262,
"Etty Bay",0,0,108,80,182,
"Eubenangee",0,0,70,30,95,
"Eudlo",0,0,273,176,453,
"Eukey",0,0,40,23,60,
"Euleilah",0,0,38,48,90,
"Eulo",0,0,25,27,49,
"Eumamurrin",0,0,23,13,38,
"Eumundi",0,0,577,312,889,
"Eungella (Qld)",0,0,45,37,83,
"Eungella Dam",0,0,4,6,9,
"Eungella Hinterland",0,0,0,0,0,
"Euramo",0,0,31,33,67,
"Eureka (Qld)",0,0,43,38,73,
"Eurella",0,0,4,3,7,
"Eurimbula",0,0,0,0,3,
"Eurombah",0,0,17,10,29,
"Eurong",0,0,6,18,22,
"Euthulla",0,0,81,50,131,
"Evans Landing",0,0,5,16,18,
"Evanslea",0,0,11,6,15,
"Evelyn",0,0,52,56,109,
"Evergreen",0,0,13,7,18,
"Everton Hills",8,12,1428,837,2287,
"Everton Park",18,17,1934,1957,3929,
"Evora",0,0,0,0,0,
"Fairdale",0,0,14,5,12,
"Fairfield (Qld)",4,8,533,731,1278,
"Fairney View",0,0,53,32,87,
"Fairy Bower",0,0,25,12,39,
"Fairyland",0,0,19,12,25,
"Fairymead",0,0,12,5,14,
"Farleigh",0,0,190,112,297,
"Farnborough",0,0,114,85,201,
"Farnsfield",0,0,30,16,48,
"Farrars Creek",0,0,0,5,5,
"Fassifern (Qld)",0,0,7,3,6,
"Fassifern Valley",0,0,25,10,41,
"Federal (Qld)",0,0,60,64,134,
"Felton",0,0,70,40,109,
"Felton South",0,0,18,5,25,
"Feluga",0,0,66,34,99,
"Ferney",0,0,22,13,31,
"Fernvale (Qld)",0,11,658,509,1176,
"Ferny Glen",0,0,22,15,35,
"Ferny Grove",5,5,1409,707,2125,
"Ferny Hills",5,9,2149,1147,3310,
"Ficks Crossing",0,0,9,6,17,
"Fielding",0,0,0,0,0,
"Fifteen Mile",0,0,8,3,9,
"Fig Tree Pocket",0,4,991,390,1389,
"Finch Hatton",0,0,113,129,239,
"Finlayvale",0,0,3,3,14,
"Finnie",0,0,19,16,34,
"Fisher (Qld)",0,0,0,5,7,
"Fishermans Pocket",0,0,8,12,15,
"Fishery Falls",0,0,42,66,103,
"Fitzgerald Creek",0,0,13,14,32,
"Fitzgibbon",9,11,1269,1258,2543,
"Fitzroy Island",0,0,0,4,4,
"Flagstone Creek",0,0,55,33,91,
"Flametree",0,0,23,94,113,
"Flaxton",0,0,268,175,444,
"Fletcher (Qld)",0,0,18,23,43,
"Fletcher Creek",0,0,0,0,0,
"Fleurbaix",0,0,9,11,23,
"Flinders View",0,6,1372,726,2105,
"Flinton",0,0,7,3,12,
"Florence Bay",0,0,0,0,0,
"Flying Fish Point",0,4,82,136,222,
"Flying Fox (Qld)",0,0,16,7,23,
"Fordsdale",0,0,10,9,20,
"Foreshores",0,0,38,24,62,
"Forest Creek",0,0,18,30,52,
"Forest Glen (Qld)",0,0,327,242,569,
"Forest Hill (Qld)",0,0,185,303,490,
"Forest Lake",20,33,5062,3511,8623,
"Forest Ridge",0,0,8,12,19,
"Forest Springs",0,0,24,0,24,
"Forestdale",3,0,632,248,881,
"Foresthome",0,0,18,16,36,
"Forestvale",0,0,15,13,20,
"Fork Lagoons",0,0,0,0,0,
"Formartin",0,0,29,7,38,
"Forrest Beach (Qld)",0,0,308,329,638,
"Forsayth",0,0,33,103,131,
"Fortitude Valley",62,21,1057,2733,3873,
"Forty Mile",0,0,0,3,6,
"Fossilbrook",0,0,0,0,4,
"Foulden",0,0,0,0,0,
"Four Ways",0,0,0,9,5,
"Foxdale",0,0,28,28,55,
"Frankfield",0,0,7,10,18,
"Fraser Island",0,0,23,192,215,
"Frazerview",0,0,9,4,14,
"Fredericksfield",0,0,56,27,78,
"Freestone",0,0,54,31,82,
"Frenches Creek",0,0,24,10,34,
"Frenchville",3,10,2035,1605,3654,
"Freshwater (Qld)",4,3,426,524,960,
"Freshwater Point",0,0,36,15,56,
"Friday Pocket",0,0,12,11,21,
"Fulham (Qld)",0,0,10,9,19,
"Gadgarra",0,0,0,0,0,
"Gaeta",0,0,25,32,56,
"Gailes",0,0,297,484,784,
"Gainsford",0,0,9,3,5,
"Gairloch",0,0,10,10,16,
"Galilee",0,0,9,0,4,
"Gamboola",0,0,3,13,13,
"Gangalidda",0,0,0,0,0,
"Garbutt",6,4,308,826,1147,
"Garfield (Qld)",0,0,11,7,19,
"Gargett",0,0,54,48,101,
"Garnant",0,0,23,20,43,
"Garners Beach",0,0,4,10,16,
"Garradunga",0,0,43,22,66,
"Garrawalt",0,0,0,0,0,
"Gatton",4,5,1304,1638,2947,
"Gaven",0,0,354,242,598,
"Gayndah",0,4,379,525,905,
"Gaythorne",0,9,596,832,1436,
"Geebung",7,5,1038,823,1877,
"Geham",0,0,123,52,180,
"Gemini Mountains",0,0,13,5,18,
"Georgetown (Qld)",0,0,76,137,208,
"Georgina (Qld)",0,0,0,0,0,
"Germantown (Qld)",0,0,18,13,28,
"Gheerulla",0,0,47,54,102,
"Ghinghinda",0,0,9,7,15,
"Gidya",0,0,0,0,0,
"Gigoomgan",0,0,9,5,9,
"Gilbert River",0,0,5,4,12,
"Gilberton (Etheridge - Qld)",0,0,0,3,7,
"Gilberton (Gold Coast - Qld)",0,0,7,7,14,
"Gilla",0,0,12,8,15,
"Gilldora",0,0,8,11,13,
"Gilston",0,3,568,273,847,
"Gin Gin (Qld)",0,0,208,331,542,
"Gindie",0,0,51,126,181,
"Gindoran",0,0,0,3,3,
"Ginoondan",0,0,0,0,6,
"Girraween (Qld)",0,0,0,17,17,
"Giru",0,0,79,113,191,
"Givelda",0,0,13,3,10,
"Gladfield (Qld)",0,0,10,18,32,
"Gladstone Central",6,0,230,599,832,
"Gladstone Harbour",0,0,8,11,16,
"Glamorgan Vale",0,0,91,78,167,
"Glan Devon",0,0,58,53,108,
"Glanmire (Qld)",0,0,0,25,27,
"Glass House Mountains",5,4,1250,713,1969,
"Glastonbury",0,0,85,63,148,
"Glebe (Qld)",0,0,5,4,10,
"Glen Allyn",0,0,34,22,59,
"Glen Aplin",0,0,118,101,219,
"Glen Boughton",0,0,3,12,14,
"Glen Cairn",0,0,26,21,45,
"Glen Echo",0,0,6,0,13,
"Glen Eden",4,3,595,414,1013,
"Glen Esk",0,0,18,9,27,
"Glen Isla",0,0,5,8,12,
"Glen Niven",0,0,28,6,30,
"Glen Russell",0,0,7,0,7,
"Glen Ruth",0,0,0,0,0,
"Glenarbon",0,0,8,9,19,
"Glenaubyn",0,0,15,3,14,
"Glenaven",0,0,23,9,28,
"Glenbar",0,0,3,0,5,
"Glencoe (Qld)",0,0,79,54,131,
"Glendale (Qld)",0,0,142,68,210,
"Glenden",0,0,123,119,246,
"Gleneagle",0,4,404,310,720,
"Glenella",0,3,1099,515,1616,
"Glenfern (Qld)",0,0,6,0,8,
"Glengallan",0,0,10,10,27,
"Glenhaughton",0,0,3,3,10,
"Glenlee (Qld)",0,0,314,122,434,
"Glenleigh",0,0,10,4,15,
"Glenlyon (Qld)",0,0,3,12,16,
"Glenmoral",0,0,15,8,20,
"Glenmorgan",0,0,30,33,63,
"Glenorchy (Qld)",0,0,20,19,40,
"Glenore Grove",0,0,193,151,344,
"Glenrae",0,0,22,20,42,
"Glenrock (Qld)",0,0,4,10,22,
"Glenroy (Qld)",0,0,6,5,11,
"Glenvale",3,0,1334,1196,2540,
"Glenview",0,0,294,149,445,
"Glenwood (Qld)",0,0,358,392,755,
"Godwin Beach",0,0,110,90,197,
"Gogango",0,0,32,9,43,
"Golden Beach (Qld)",5,6,1261,1575,2844,
"Golden Fleece",0,0,17,3,20,
"Goldfields",0,0,4,3,13,
"Goldsborough (Qld)",0,0,245,83,331,
"Gooburrum",0,0,378,168,543,
"Good Night",0,0,29,29,60,
"Goodar",0,0,19,12,26,
"Goodger",0,0,45,29,78,
"Goodna",4,8,1693,2210,3923,
"Goodwood (Qld)",0,0,44,29,74,
"Googa Creek",0,0,8,13,21,
"Goolboo",0,0,7,0,7,
"Goolman",0,0,13,3,16,
"Goomally",0,0,6,4,9,
"Goombi",0,0,7,0,12,
"Goomboorian",0,0,128,78,207,
"Goombungee",0,0,229,189,412,
"Goomburra",0,0,64,38,107,
"Goomeri",0,0,139,193,329,
"Goomeribong",0,0,10,8,16,
"Goondi",0,0,11,8,18,
"Goondi Bend",0,0,110,120,235,
"Goondi Hill",0,0,60,109,162,
"Goondiwindi",0,0,1329,1393,2724,
"Goorganga Creek",0,0,3,0,3,
"Goorganga Plains",0,0,0,0,0,
"Gooroolba",0,0,4,0,4,
"Gootchie",0,0,22,16,42,
"Goovigen",0,0,49,48,101,
"Goowarra",0,0,3,10,10,
"Goranba",0,0,19,71,91,
"Gordon Park",14,7,907,936,1862,
"Gordonbrook",0,0,47,23,72,
"Gordonstone",0,0,0,0,0,
"Gordonvale",0,10,1359,1279,2652,
"Gore",0,0,6,4,18,
"Gowrie Junction",0,0,548,198,743,
"Gowrie Little Plain",0,0,19,7,23,
"Gowrie Mountain",0,0,61,36,95,
"Gowrie Station",0,0,3,0,6,
"Gracemere",5,12,2321,1937,4277,
"Graceville",5,3,1053,639,1698,
"Grahams Creek",0,0,45,28,64,
"Granadilla",0,0,21,17,36,
"Grand Secret",0,0,29,43,73,
"Grandchester",0,0,96,86,174,
"Grange (Qld)",9,5,974,629,1617,
"Granite Vale",0,0,0,0,0,
"Grant",0,0,0,3,8,
"Grantham",0,0,132,126,258,
"Granville (Qld)",0,0,530,630,1165,
"Grapetree",0,0,5,3,13,
"Grassdale (Qld)",0,0,0,3,3,
"Grasstree Beach",0,0,186,139,323,
"Grays Gate",0,0,12,4,12,
"Great Sandy Strait",0,0,0,5,5,
"Green Hill",0,0,31,35,62,
"Green Island",0,0,0,4,0,
"Greenbank",0,5,1859,844,2714,
"Greenlake",0,0,0,0,0,
"Greenlands (Qld)",0,0,56,45,97,
"Greenmount (Mackay - Qld)",0,0,126,62,187,
"Greenmount (Toowoomba - Qld)",0,0,168,109,274,
"Greens Creek (Qld)",0,0,86,45,126,
"Greenslopes",18,11,1754,2402,4191,
"Greenswamp",0,0,17,9,18,
"Greenup",0,0,8,5,8,
"Greenvale (Qld)",0,0,50,69,116,
"Greenview",0,0,22,18,42,
"Greenwood (Qld)",0,0,9,5,15,
"Gregors Creek",0,0,21,7,32,
"Gregory (Qld)",0,0,8,59,67,
"Gregory River (Bundaberg - Qld)",0,0,13,9,24,
"Gregory River (Whitsunday - Qld)",0,0,63,90,152,
"Greycliffe",0,0,7,7,14,
"Greymare",0,0,11,16,27,
"Griffin",7,17,1544,1057,2621,
"Groganville",0,0,3,4,4,
"Groomsville",0,0,33,6,50,
"Groper Creek",0,0,19,54,73,
"Grosmont",0,0,37,28,59,
"Grosvenor",0,0,6,5,7,
"Guanaba",0,0,179,136,316,
"Guijar Islet",0,0,0,0,0,
"Gulf Of Carpentaria",0,0,0,0,0,
"Gulliver",3,0,538,718,1272,
"Gulngai",0,0,0,0,0,
"Guluguba",0,0,26,22,48,
"Gumdale",0,0,495,189,686,
"Gumlow",0,0,42,17,62,
"Gumlu",0,0,41,65,105,
"Gunalda",0,0,71,108,182,
"Gundiah",0,0,27,31,55,
"Gungaloon",0,0,6,5,9,
"Gunnawarra",0,0,6,4,6,
"Gunnewin",0,0,20,13,26,
"Gunpowder",0,0,9,4,16,
"Gunyarra",0,0,6,0,6,
"Gurgeena",0,0,9,5,9,
"Gurulmundi",0,0,4,5,7,
"Guthalungra",0,0,17,41,61,
"Gwambegwine",0,0,4,0,8,
"Gympie",4,7,1884,3005,4897,
"Habana",0,0,259,107,359,
"Haden",0,0,39,36,81,
"Haigslea",0,0,110,74,182,
"Hail Creek",0,0,8,0,6,
"Haliday Bay",0,0,40,36,80,
"Halifax",0,0,111,116,225,
"Halliford",0,0,0,0,0,
"Haly Creek",0,0,34,19,49,
"Hamilton (Qld)",36,12,1455,2065,3564,
"Hamilton Creek",0,0,22,34,61,
"Hamilton Plains",0,0,15,19,43,
"Hampden (Qld)",0,0,139,87,231,
"Hampton (Qld)",0,0,95,48,150,
"Hannaford",0,0,33,24,55,
"Happy Valley (Qld)",0,0,157,120,275,
"Harlaxton",4,5,420,686,1108,
"Harlin",0,0,43,28,71,
"Harrami",0,0,9,4,17,
"Harriet",0,0,0,0,3,
"Harristown",6,0,1555,2344,3914,
"Harrisville",0,0,148,98,239,
"Hatton Vale",0,0,358,196,556,
"Hawkins Creek",0,0,61,30,88,
"Hawkwood",0,0,9,3,7,
"Hawthorne",10,9,1103,880,2009,
"Hay Point",0,0,299,225,531,
"Hazeldean",0,0,74,51,123,
"Hazledean",0,0,0,0,6,
"Headington Hill",0,0,17,12,27,
"Healy",0,0,434,241,674,
"Heathwood",0,5,678,255,935,
"Heatley",0,3,739,989,1737,
"Hebel",0,0,9,18,31,
"Helens Hill",0,0,25,24,54,
"Helensvale",13,15,3972,2620,6623,
"Helidon",0,0,210,239,446,
"Helidon Spa",0,0,120,94,213,
"Hemmant",0,0,511,447,959,
"Hendon (Qld)",0,0,51,39,86,
"Hendra",11,4,1046,783,1841,
"Herberton",0,4,155,212,369,
"Heritage Park",3,5,1130,624,1756,
"Hermit Park",7,8,634,982,1628,
"Herston",10,4,304,604,922,
"Hervey Range",0,0,75,49,122,
"Hibernia",0,0,9,9,25,
"Hidden Valley (Qld)",0,0,101,59,161,
"Hideaway Bay",0,0,58,81,139,
"Highbury (Qld)",0,0,0,0,0,
"Highfields (Qld)",0,9,2125,833,2967,
"Highgate Hill",14,15,1011,1728,2759,
"Highgrove",0,0,6,0,13,
"Highland Park",6,7,1554,1073,2645,
"Highland Plains (Maranoa - Qld)",0,0,0,0,0,
"Highland Plains (Toowoomba - Qld)",0,0,7,8,20,
"Highvale",0,5,466,118,589,
"Highworth",0,0,57,69,128,
"Hillcrest (Qld)",0,10,1124,1028,2160,
"Hillview",0,0,15,12,31,
"Hinchinbrook (Qld)",0,0,0,0,0,
"Hirstglen",0,0,14,14,29,
"Hivesville",0,0,35,45,83,
"Hobartville (Qld)",0,0,8,6,10,
"Hodgleigh",0,0,30,17,46,
"Hodgson",0,0,9,9,24,
"Hodgson Vale",0,0,361,99,460,
"Holland Park",11,16,1625,1563,3222,
"Holland Park West",7,12,1413,1217,2654,
"Holloways Beach",4,8,411,716,1140,
"Hollywell",0,0,763,498,1259,
"Holmview",0,12,474,412,898,
"Holroyd River",0,0,0,0,0,
"Home Creek",0,0,8,4,12,
"Home Hill",0,0,646,670,1320,
"Homebush (Qld)",0,0,65,47,107,
"Homestead",0,0,5,16,23,
"Hookswood",0,0,14,12,27,
"Hope Island",3,5,2870,1896,4780,
"Hope Vale",0,0,142,221,366,
"Hopeland (Qld)",0,0,37,22,54,
"Horn",0,4,67,118,182,
"Horse Camp",0,0,95,88,183,
"Horse Creek",0,0,18,47,64,
"Horseshoe Bay",0,0,135,169,308,
"Horseshoe Lagoon",0,0,56,38,95,
"Horton",0,0,33,26,69,
"Howard",0,0,293,370,663,
"Howitt",0,0,5,39,44,
"Hoya",0,0,60,26,86,
"Hudson",0,0,32,61,89,
"Hughenden",0,0,242,354,598,
"Hull Heads",0,0,30,57,91,
"Humboldt",0,0,5,3,7,
"Humeburn",0,0,0,15,13,
"Humphery",0,0,6,6,8,
"Hunchy",0,0,135,64,199,
"Hungerford (Qld)",0,0,3,20,20,
"Hurricane",0,0,6,8,9,
"Hutton Creek",0,0,5,7,12,
"Hyde Park (Qld)",0,0,246,399,643,
"Iama Island",0,0,35,62,94,
"Ibis",0,0,0,0,3,
"Idalia",6,9,1017,648,1672,
"Ideraway",0,0,10,10,12,
"Ilbilbie",0,0,76,145,219,
"Ilfracombe",0,0,61,98,161,
"Ilkley",0,3,195,92,291,
"Illinbah",0,0,29,22,50,
"Image Flat",0,0,104,56,162,
"Imbil",3,0,202,265,470,
"Inala",3,3,2188,3558,5758,
"Indooroopilly",17,12,2354,2738,5125,
"Ingberry",0,0,0,0,0,
"Ingham",0,0,916,1141,2054,
"Inglestone",0,0,21,5,25,
"Inglewood (Qld)",0,0,188,265,459,
"Ingoldsby",0,0,19,7,25,
"Injinoo",0,0,62,81,145,
"Injune",0,0,102,124,229,
"Inkerman (Qld)",0,0,39,29,64,
"Innes Park",4,0,605,270,881,
"Innisfail",0,3,156,354,511,
"Innisfail Estate",0,0,270,313,586,
"Innisplain",0,0,17,22,40,
"Innot Hot Springs",0,0,27,74,101,
"Inskip",0,0,4,147,149,
"Inverlaw",0,0,43,45,88,
"Inverness",0,0,98,33,129,
"Ipswich",0,3,323,722,1051,
"Iredale",0,0,42,17,57,
"Iron Range",0,0,0,32,39,
"Ironbark (Qld)",0,0,88,48,139,
"Irongate",0,0,32,18,55,
"Ironpot (Livingstone - Qld)",0,0,44,18,62,
"Ironpot (South Burnett - Qld)",0,0,15,10,25,
"Irvinebank",0,0,23,49,73,
"Irvingdale",0,0,49,27,78,
"Isis Central",0,0,47,44,91,
"Isis River",0,0,27,18,45,
"Isisford",0,0,46,108,156,
"Isla",0,0,39,35,73,
"Island Plantation",0,0,32,24,59,
"Iveragh",0,0,34,10,53,
"Ivory Creek",0,0,7,13,23,
"Jackson",0,0,15,20,34,
"Jackson North",0,0,15,12,23,
"Jackson South",0,0,0,0,0,
"Jacobs Well",0,0,482,299,787,
"Jaffa",0,0,7,7,11,
"Jaggan",0,0,55,29,85,
"Jamboree Heights",0,4,745,479,1227,
"Jandowae",0,0,213,254,473,
"Japoonvale",0,0,33,34,66,
"Jardine",0,0,17,4,24,
"Jardine River",0,0,0,5,5,
"Jarra Creek",0,0,30,20,51,
"Jarvisfield",0,0,98,43,143,
"Jeebropilly",0,0,0,0,0,
"Jellinbah",0,0,8,3,12,
"Jensen",0,0,366,173,538,
"Jericho (Qld)",0,0,25,81,102,
"Jerona",0,0,5,23,32,
"Jimboomba",3,9,3059,1504,4581,
"Jimbour East",0,0,47,32,78,
"Jimbour West",0,0,15,3,19,
"Jimna",0,0,16,32,43,
"Jindalee (Qld)",3,8,1280,756,2046,
"Jinghi",0,0,16,4,29,
"Jobs Gate",0,0,3,4,9,
"Johnsons Hill",0,0,0,0,5,
"Johnstown",0,0,11,0,12,
"Jollys Lookout",0,0,17,9,31,
"Jondaryan",0,0,84,85,166,
"Jones Gully",0,0,0,6,3,
"Jones Hill",0,0,205,140,348,
"Josephville",0,0,39,26,61,
"Joskeleigh",0,0,8,15,27,
"Joyner",0,0,709,270,990,
"Jubilee Heights",0,0,35,18,57,
"Jubilee Pocket",0,0,369,551,922,
"Julago",0,0,26,17,40,
"Julatten",0,0,237,225,465,
"Julia Creek",0,0,101,208,312,
"Junabee",0,0,62,27,84,
"Junction View",0,0,8,9,16,
"Jundah",0,0,19,47,73,
"Kaban",0,0,19,22,38,
"Kabra",0,0,99,76,171,
"Kagaru",0,0,6,5,9,
"Kaimkillenbun",0,0,59,59,121,
"Kairabah",0,0,0,0,0,
"Kairi",0,0,111,79,186,
"Kalapa",0,0,24,19,41,
"Kalbar",0,0,240,202,444,
"Kalinga",4,0,455,263,727,
"Kalkadoon",0,0,0,12,18,
"Kalkie",0,0,654,387,1044,
"Kallangur",19,21,4138,4266,8452,
"Kalpowar",0,0,19,15,28,
"Kalunga",0,0,20,21,39,
"Kamerunga",0,5,206,201,417,
"Kandanga",0,0,147,131,276,
"Kandanga Creek",0,0,30,19,43,
"Kangaroo Point (Qld)",28,6,1485,2601,4120,
"Kanigan",0,0,38,13,51,
"Kanimbla (Qld)",0,6,619,368,1000,
"Kapaldo",0,0,11,4,20,
"Karalee",0,4,1084,436,1530,
"Karana Downs",5,6,961,446,1412,
"Karara",0,0,29,33,57,
"Karawatha",0,0,7,3,8,
"Karrabin",0,0,97,63,161,
"Karragarra Island",0,4,45,67,117,
"Karron",0,0,0,0,0,
"Karumba",0,0,123,471,601,
"Kawana",0,0,813,978,1793,
"Kawl Kawl",0,0,8,3,10,
"Kawungan",0,7,1114,932,2049,
"Kearneys Spring",0,11,1647,2192,3849,
"Kedron",21,10,1900,2123,4057,
"Kelsey Creek",0,0,27,23,50,
"Kelso (Qld)",0,7,2108,1859,3972,
"Kelvin Grove",27,12,1216,2118,3371,
"Kelvinhaugh",0,0,11,8,19,
"Kemmis",0,0,4,7,8,
"Kenilworth",0,0,127,163,291,
"Kenmore",4,12,2145,1345,3504,
"Kenmore Hills",0,0,584,282,869,
"Kennedy",0,0,37,31,70,
"Kensington (Qld)",0,0,125,159,281,
"Kensington Grove",0,0,405,242,650,
"Kents Lagoon",0,0,17,3,19,
"Kents Pocket",0,0,10,0,9,
"Kentville",0,0,21,20,40,
"Keperra",10,7,1413,1479,2914,
"Kepnock",0,0,888,1006,1893,
"Keppel Sands",0,0,88,90,177,
"Keriri Island",0,0,35,50,83,
"Kerry",0,0,82,48,125,
"Kewarra Beach",10,7,1337,990,2349,
"Keysland",0,0,3,3,4,
"Kholo",0,0,110,46,149,
"Khosh Bulduk",0,0,12,11,23,
"Kia Ora (Qld)",0,0,47,62,113,
"Kiamba",0,0,42,35,76,
"Kianga (Qld)",0,0,59,29,89,
"Kidaman Creek",0,0,28,34,66,
"Kiels Mountain",0,0,165,91,256,
"Kilbirnie",0,0,11,11,27,
"Kilcoy",0,0,368,414,785,
"Kilcummin",0,0,57,40,102,
"Kilkivan",0,0,158,200,358,
"Killaloe",0,0,29,20,51,
"Killarney (Qld)",0,0,206,208,412,
"Kilmorey Falls",0,0,0,0,0,
"Kimberley (Qld)",0,0,6,13,20,
"Kin Kin",0,0,164,171,339,
"Kin Kora",0,4,571,500,1070,
"Kinbombi",0,0,7,5,12,
"Kinchant Dam",0,0,27,38,65,
"Kincora",0,0,17,6,22,
"Kindon",0,0,6,3,12,
"King Scrub",0,0,90,29,123,
"Kingaham",0,0,0,4,5,
"Kingaroy",3,3,2001,2316,4318,
"Kings Beach",6,0,550,1004,1558,
"Kings Creek",0,0,21,8,24,
"Kings Siding",0,0,4,0,3,
"Kingsholme",0,0,63,40,104,
"Kingsthorpe",5,0,450,271,723,
"Kingston (Qld)",3,0,1645,2299,3947,
"Kinka Beach",0,0,136,330,472,
"Kinkuna",0,0,28,24,47,
"Kinleymore",0,0,19,20,33,
"Kinnoul",0,0,19,5,24,
"Kioma",0,0,6,7,8,
"Kippa-Ring",3,4,1923,2122,4051,
"Kirknie",0,0,16,15,32,
"Kirkwood",0,0,506,285,791,
"Kirrama",0,0,0,6,5,
"Kirwan",11,18,4526,3840,8401,
"Kitoba",0,0,4,0,8,
"Kleinton",0,0,399,160,558,
"Knapp Creek",0,0,14,5,23,
"Koah",0,0,141,126,268,
"Kobble Creek",5,0,144,85,234,
"Kogan",0,0,33,42,75,
"Kokotungo",0,0,30,16,42,
"Kolonga",0,0,10,19,27,
"Koombooloomba",0,0,0,3,3,
"Koongal",0,0,844,888,1734,
"Kooralbyn",0,0,387,381,771,
"Kooralgin",0,0,13,6,21,
"Kooringal (Qld)",0,0,8,21,30,
"Kooroomool",0,0,0,0,0,
"Kooroongarra",0,0,17,11,24,
"Koumala",0,0,192,140,334,
"Kowanyama",0,0,134,182,322,
"Kowguran",0,0,12,28,38,
"Kragra",0,0,5,6,13,
"Kulangoor",0,0,84,148,228,
"Kulgun",0,0,18,8,21,
"Kullogum",0,0,28,23,46,
"Kulpi",0,0,27,11,34,
"Kuluin",5,0,504,397,903,
"Kumbarilla",0,0,33,36,72,
"Kumbia",0,0,64,80,143,
"Kunda Park",0,0,5,8,8,
"Kunioon",0,0,7,0,10,
"Kunwarara",0,0,24,12,32,
"Kuraby",7,4,1843,931,2786,
