Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Melton South",317,428,681,561,637,391,624,537,51,42,7256,11517,
"Melton West",661,879,1198,983,1162,835,959,810,103,58,9943,17588,
"Melville Forest",13,5,0,0,0,0,0,5,0,0,19,44,
"Melwood",0,0,0,0,0,0,0,0,0,0,22,28,
"Mena Park",5,0,6,0,0,0,0,0,0,0,17,31,
"Mentone",1080,1884,764,639,981,653,186,311,62,45,6358,12965,
"Menzies Creek",73,116,90,56,59,43,13,30,6,5,494,996,
"Mepunga",7,0,0,0,6,0,0,0,0,0,33,47,
"Mepunga East",19,4,0,4,3,0,0,9,0,0,33,66,
"Mepunga West",21,4,4,0,7,0,6,3,0,0,37,78,
"Merbein",132,117,142,140,110,104,103,141,3,8,1713,2718,
"Merbein South",37,22,33,16,34,19,20,29,5,6,193,404,
"Merbein West",14,11,17,15,11,11,16,11,0,0,91,191,
"Meredith",80,42,44,36,36,22,35,43,5,4,435,791,
"Meringur",24,0,0,0,0,0,3,5,0,0,31,69,
"Merino",26,11,13,12,14,6,10,15,3,0,139,253,
"Mernda",861,1409,1208,974,1226,797,619,681,84,42,8571,16459,
"Merriang",11,12,19,9,14,9,11,4,0,0,84,177,
"Merriang South",4,6,3,3,5,0,0,0,0,0,21,42,
"Merricks",20,12,10,6,8,0,0,6,0,0,117,186,
"Merricks Beach",9,16,3,3,5,0,0,5,0,0,88,128,
"Merricks North",44,55,25,17,20,19,0,19,3,3,209,424,
"Merrigum",58,31,42,36,21,21,27,67,3,4,377,675,
"Merrijig (East Gippsland - Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,
"Merrijig (Mansfield - Vic.)",53,49,19,18,22,15,6,20,0,3,345,548,
"Merrimu",21,28,35,14,22,16,15,17,4,8,197,373,
"Merrinee",20,0,0,0,0,0,4,0,0,0,24,47,
"Merton",22,9,16,7,0,0,3,8,0,0,121,192,
"Metcalfe",18,10,10,5,6,5,0,15,0,0,114,187,
"Metcalfe East",0,9,4,0,0,0,0,0,0,0,6,25,
"Metung",81,104,83,60,74,54,15,53,5,0,920,1452,
"Mia Mia (Vic.)",10,7,6,6,7,9,6,10,0,0,117,173,
"Mickleham",193,237,289,159,263,157,148,172,13,9,1503,3145,
"Middle Creek",7,3,0,0,0,0,0,0,0,0,3,15,
"Middle Park (Vic.)",509,861,88,115,261,132,23,45,19,7,2081,4147,
"Middle Tarwin",31,10,0,4,3,0,0,0,0,0,50,98,
"Miepoll",13,9,15,8,7,4,3,6,0,5,138,211,
"Miga Lake",11,3,0,0,0,0,0,0,0,0,15,27,
"Milawa",60,49,43,32,37,20,17,26,4,0,293,589,
"Mildura",1490,2356,1722,1634,1493,1579,813,1767,97,131,19645,32738,
"Mill Park",1400,2505,2226,1615,2285,1732,1152,1441,123,115,15121,29713,
"Millbrook (Vic.)",14,6,13,10,3,4,6,7,0,0,77,158,
"Millgrove",40,62,130,98,65,46,63,117,6,5,1012,1652,
"Milloo",12,4,0,0,0,0,0,5,0,0,15,36,
"Milltown",9,5,3,0,3,3,3,0,0,0,39,66,
"Milnes Bridge",4,0,0,0,0,0,0,0,0,0,18,26,
"Mincha",11,4,0,0,3,0,5,3,0,0,25,50,
"Mincha West",10,0,0,0,0,0,0,9,0,0,11,34,
"Miners Rest",158,293,269,181,196,180,114,172,18,5,1509,3091,
"Mingay",9,0,0,6,4,0,4,0,0,3,19,55,
"Minhamite",26,4,0,0,0,0,3,13,0,0,66,112,
"Minimay",21,5,8,0,0,0,4,4,0,0,37,82,
"Mininera",16,7,5,0,4,0,0,3,0,0,36,64,
"Minjah",10,5,0,0,4,0,0,3,0,0,40,61,
"Minmindie",0,0,0,0,0,0,0,0,0,0,11,15,
"Minyip",51,11,15,23,20,4,13,32,0,0,346,520,
"Miowera",0,0,0,0,0,0,0,0,0,0,0,0,
"Miralie",0,0,0,0,0,0,0,0,0,0,0,0,
"Miram",10,0,0,0,0,0,0,0,0,0,16,40,
"Mirboo",49,21,19,7,12,15,7,6,3,0,147,285,
"Mirboo North",131,154,150,102,89,73,62,92,9,9,1319,2194,
"Mirranatwa",10,0,0,0,0,0,0,0,0,0,15,26,
"Mitcham (Vic.)",1062,2683,889,804,1177,718,260,504,60,41,7947,16148,
"Mitchell Park (Vic.)",23,45,69,50,55,36,47,61,3,5,464,870,
"Mitchellstown",9,3,4,0,4,0,0,7,0,0,25,60,
"Mitiamo",17,0,6,0,5,0,10,10,0,0,66,113,
"Mitre",17,5,4,0,3,0,0,7,0,0,25,63,
"Mitta Mitta",36,11,7,10,5,3,0,10,0,0,95,170,
"Mittyack",3,0,0,4,0,0,0,0,0,0,5,11,
"Mockinya",12,0,0,0,0,0,0,0,0,0,16,33,
"Modella",29,8,9,4,4,0,12,8,0,0,69,145,
"Modewarre",31,19,32,10,21,16,8,13,0,0,122,273,
"Moe",202,342,557,438,349,355,214,469,30,39,5800,8779,
"Moe South",33,53,51,16,36,25,11,35,0,3,277,541,
"Moggs Creek",7,16,8,7,3,4,3,6,0,0,43,89,
"Moglonemby",12,0,0,0,0,0,0,0,0,0,21,32,
"Mokepilly",3,0,0,0,0,0,0,0,0,0,5,11,
"Molesworth (Vic.)",15,9,0,0,0,0,0,9,0,0,35,72,
"Moliagul",4,7,4,5,0,0,0,8,0,0,61,86,
"Molka",9,3,0,0,0,0,0,0,0,0,18,35,
"Mollongghip",14,4,3,3,4,4,0,3,0,0,58,87,
"Mologa",8,3,0,0,0,0,0,0,0,0,14,25,
"Molyullah",14,11,8,0,7,0,4,12,0,0,75,131,
"Monbulk",261,273,342,202,204,147,96,180,16,15,1844,3575,
"Monegeetta",17,17,26,6,14,11,11,15,3,0,112,216,
"Mongans Bridge",0,5,0,0,3,0,3,10,0,0,18,38,
"Monomak",0,0,0,0,0,0,0,0,0,0,0,0,
"Monomeith",11,3,4,4,3,4,0,3,0,0,30,68,
"Mont Albert",448,986,141,212,315,186,39,83,22,7,2399,4843,
"Mont Albert North",403,984,184,225,357,236,56,105,25,15,2918,5501,
"Montgomery",14,0,0,0,0,0,4,5,0,0,38,66,
"Montmorency",646,1329,662,517,714,357,107,216,30,26,4372,8963,
"Montrose (Vic.)",402,640,659,347,500,305,150,300,34,22,3400,6764,
"Moolap",58,65,120,62,64,56,46,75,16,7,805,1368,
"Moolerr",7,0,4,0,0,3,0,5,0,0,3,19,
"Moolort",11,0,0,0,0,0,0,0,0,0,13,36,
"Moonambel",21,10,5,4,7,3,3,13,0,0,99,170,
"Moondarra",4,4,6,0,0,0,0,6,0,0,31,44,
"Moonee Ponds",1324,2508,679,673,1113,673,180,330,64,38,6657,14252,
"Moonlight Flat (Central Goldfields - Vic.)",3,8,17,5,0,5,0,4,0,0,40,82,
"Moonlight Flat (Mount Alexander - Vic.)",6,11,16,0,6,0,0,5,0,0,27,82,
"Moora (Vic.)",6,0,0,4,0,0,0,0,0,0,12,19,
"Moorabbin",409,727,372,272,448,274,92,165,21,31,3076,5894,
"Moorabbin Airport",0,0,0,0,0,0,0,0,0,0,0,0,
"Moorabool",14,0,4,0,4,0,3,7,0,0,53,88,
"Mooralla",25,11,5,6,0,0,0,0,0,0,32,83,
"Moorilim",10,5,0,0,4,0,0,0,0,0,12,28,
"Moormbool West",0,0,0,0,0,0,0,0,0,0,22,30,
"Moornapa",0,0,0,0,0,0,0,0,0,0,3,9,
"Moorngag",17,7,4,5,11,0,0,7,0,0,46,97,
"Moorooduc",124,103,98,47,82,45,16,62,9,3,507,1101,
"Mooroolbark",1269,1915,2052,1304,1647,1154,593,1035,97,66,10831,21964,
"Mooroopna",304,405,459,394,389,361,267,543,16,40,4768,7937,
"Mooroopna North",21,3,3,5,0,5,11,9,0,0,65,127,
"Mooroopna North West",13,0,3,3,5,3,0,4,0,0,39,75,
"Moranding",18,21,16,6,9,10,0,6,0,0,95,185,
"Mordialloc",679,1210,512,419,598,391,129,195,31,22,3979,8170,
"Morgiana",9,5,0,0,4,0,0,0,0,0,16,27,
"Moriac",58,90,84,40,58,38,21,33,0,0,360,779,
"Mornington (Vic.)",1328,2043,1663,1291,1323,1116,393,871,81,67,13818,23991,
"Moroka",0,0,0,0,0,0,0,0,0,0,0,0,
"Morrisons",12,9,9,5,9,0,10,10,0,0,71,126,
"Morrl Morrl",3,0,0,0,0,0,0,0,0,0,0,3,
"Mortlake (Vic.)",104,53,81,54,51,47,35,80,6,8,855,1369,
"Morton Plains",3,0,0,0,0,0,0,0,0,0,7,10,
"Morwell",347,516,717,564,585,548,413,669,49,44,9330,13774,
"Mossiface",13,4,7,10,4,3,6,14,0,0,64,133,
"Mount Alfred",11,0,0,0,0,0,0,5,0,0,13,28,
"Mount Beauty",25,48,53,48,36,25,11,53,3,0,518,823,
"Mount Beckworth",3,4,0,0,0,0,0,0,0,0,4,8,
"Mount Best",0,0,0,0,0,0,0,0,0,0,7,12,
"Mount Bolton",0,0,5,0,3,0,0,0,0,0,7,27,
"Mount Bruno",0,3,0,3,5,6,0,0,0,0,32,52,
"Mount Buffalo",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Buller",15,16,11,29,7,8,12,15,4,0,120,241,
"Mount Burnett",14,8,9,10,12,4,10,3,0,0,91,174,
"Mount Bute",18,5,0,0,0,0,0,0,0,0,29,59,
"Mount Camel",4,3,8,6,7,0,6,0,0,0,72,106,
"Mount Cameron",0,0,0,0,0,0,0,0,0,4,0,4,
"Mount Clear",150,363,163,197,202,163,66,155,7,13,1913,3387,
"Mount Cole",3,0,0,0,0,3,0,0,0,0,13,26,
"Mount Cole Creek",5,0,0,0,0,0,0,0,0,0,0,4,
"Mount Cottrell",28,11,42,9,17,18,19,28,0,0,380,566,
"Mount Dandenong",85,203,89,68,55,55,7,47,0,8,634,1253,
"Mount Doran",11,4,7,7,8,5,0,0,0,4,87,128,
"Mount Dryden",0,0,0,0,0,0,0,0,0,0,0,7,
"Mount Duneed",112,198,149,109,84,95,38,65,3,3,717,1581,
"Mount Eccles",13,13,11,5,0,3,5,0,0,0,59,105,
"Mount Egerton",29,53,46,29,41,29,23,35,0,0,295,584,
"Mount Eliza",1680,2345,912,749,1075,881,141,383,74,47,9595,17889,
"Mount Emu",5,0,5,4,0,0,0,0,0,0,10,20,
"Mount Evelyn",610,826,995,601,682,466,301,451,54,35,4675,9698,
"Mount Franklin",12,13,8,0,3,0,3,9,0,0,43,88,
"Mount Glasgow",5,0,0,3,9,0,5,3,0,0,56,86,
"Mount Helen",165,351,178,184,194,160,53,113,18,9,1548,2973,
"Mount Hooghly",5,0,0,0,0,0,0,0,0,0,10,15,
"Mount Lonarch",0,0,0,0,0,5,0,0,0,0,34,40,
"Mount Macedon",138,207,70,62,67,40,13,34,5,8,687,1337,
"Mount Major",3,0,0,0,0,0,0,0,0,0,0,8,
"Mount Martha",1404,2013,1274,938,1098,959,203,570,77,44,9969,18547,
"Mount Mercer",22,4,5,0,6,0,6,3,0,3,32,71,
"Mount Moriac",38,15,21,10,7,10,3,11,0,7,107,244,
"Mount Napier",4,3,0,0,0,0,0,0,0,0,5,15,
"Mount Pleasant (Vic.)",80,198,157,159,113,112,43,97,14,9,1219,2206,
"Mount Prospect",7,9,3,0,0,0,0,0,0,0,18,40,
"Mount Richmond",7,0,0,0,0,0,4,4,0,0,19,41,
"Mount Rowan",22,14,22,12,18,15,8,18,0,3,158,298,
"Mount Sabine",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Tassie",0,0,0,0,0,0,0,0,0,0,0,0,
"Mount Taylor",20,29,15,7,16,15,12,13,0,0,158,284,
"Mount Toolebewong",5,14,5,7,0,0,0,3,0,0,90,136,
"Mount Wallace",9,5,3,4,6,3,0,9,0,0,67,112,
"Mount Waverley",2265,4992,1439,1251,2155,1483,427,916,158,111,18413,33612,
"Mountain Bay",0,6,4,0,0,0,0,0,0,0,28,40,
"Mountain View (Vic.)",9,3,3,4,3,8,4,6,0,0,50,90,
"Moutajup",29,6,0,0,4,4,0,0,0,0,40,89,
"Moyhu",52,35,28,21,17,12,15,20,0,0,238,444,
"Moyreisk",6,0,7,0,0,0,4,0,0,0,16,32,
"Moyston",36,22,23,31,18,13,4,12,3,0,187,349,
"Muckatah",28,4,9,3,8,9,6,27,0,0,121,210,
"Muckleford",34,34,31,14,20,11,15,27,0,3,217,406,
"Muckleford South",4,4,3,5,6,3,0,0,0,0,21,41,
"Mudgegonga",34,24,12,9,8,4,13,6,0,0,53,169,
"Mulgrave (Vic.)",1154,2188,1088,715,1413,934,469,700,90,59,10557,19370,
"Mumbannar",26,6,6,8,4,3,9,6,0,0,43,112,
"Mundoona",17,10,15,10,6,4,7,3,0,0,45,119,
"Munro",22,7,13,10,4,3,0,10,0,0,78,145,
"Muntham",3,0,0,0,0,0,0,3,0,0,20,31,
"Murchison (Vic.)",46,50,45,35,31,32,22,39,3,0,609,920,
"Murchison East",11,11,5,5,0,3,0,6,0,0,85,132,
"Murchison North",34,7,14,7,8,6,10,7,5,0,84,189,
"Murgheboluc",17,14,9,4,9,3,7,10,0,0,67,131,
"Murmungee",11,0,0,3,0,0,5,4,0,0,26,58,
"Murnungin",6,0,0,0,0,3,0,0,0,0,0,11,
"Murphys Creek (Vic.)",10,6,0,0,0,0,0,4,0,0,17,40,
"Murra Warra",17,7,3,0,3,0,4,0,0,0,35,72,
"Murrabit",28,12,11,8,5,0,9,20,0,0,111,199,
"Murrabit West",0,0,0,0,0,0,3,3,0,0,27,45,
"Murrawee",4,11,14,8,10,8,4,12,0,0,75,145,
"Murray-Sunset",0,0,0,0,0,0,0,0,0,0,0,3,
"Murraydale",17,13,12,8,5,5,3,4,0,0,55,126,
"Murrayville",47,16,5,6,6,7,15,21,0,0,149,282,
"Murrindal",4,0,0,0,0,0,0,0,0,0,8,11,
"Murrindindi",18,6,4,5,9,0,0,5,0,0,55,103,
"Murroon",24,7,3,4,6,0,4,4,0,0,40,83,
"Murrumbeena",816,1763,503,451,708,506,143,289,44,40,4670,9927,
"Murtoa",83,52,38,42,33,22,30,48,9,3,512,867,
"Musk",19,13,3,5,7,7,0,10,0,0,94,155,
"Musk Vale",12,8,14,5,0,6,3,4,0,0,65,130,
"Muskerry",15,0,4,0,0,5,0,3,0,0,20,52,
"Myall (Buloke - Vic.)",0,0,0,0,0,0,0,0,0,0,9,13,
"Myall (Gannawarra - Vic.)",26,0,3,0,6,3,3,9,0,0,52,107,
"Myamyn",8,5,5,0,3,6,3,0,0,0,48,73,
"Myers Flat",24,39,52,16,29,25,19,26,0,0,229,465,
"Myola (Vic.)",11,0,0,0,0,0,0,0,0,0,22,41,
"Myrniong",35,32,49,19,28,15,28,19,4,0,182,407,
"Myrrhee",28,8,13,10,8,3,3,11,0,0,67,151,
"Myrtle Creek (Vic.)",8,8,0,0,3,0,0,6,0,0,39,67,
"Myrtlebank",20,7,7,3,4,3,0,8,0,0,64,127,
"Myrtleford",140,164,207,160,118,141,143,193,13,9,1911,3192,
"Mysia",3,4,0,0,0,0,0,0,0,0,28,44,
"Mystic Park",11,9,19,12,6,7,3,10,0,0,114,184,
"Mywee",0,4,0,0,0,0,0,3,0,0,0,17,
"Nagambie",141,94,143,73,79,61,51,138,13,0,1088,1880,
"Nalangil",7,3,0,9,3,0,0,11,0,0,27,76,
"Nalinga",3,3,0,0,0,0,0,0,0,0,4,24,
"Nambrok",71,13,14,13,11,6,10,19,0,0,133,298,
"Nandaly",6,0,0,0,0,0,0,0,0,0,22,36,
"Nangana",8,4,0,0,6,5,0,3,0,0,23,46,
"Nangeela",6,0,0,0,0,0,0,0,0,0,6,13,
"Nangiloc",20,5,0,6,0,0,4,19,0,0,96,139,
"Nanneella",70,18,22,21,12,16,16,42,0,0,176,389,
"Nap Nap Marra",0,0,0,0,0,0,0,0,0,0,0,0,
"Napoleons",40,52,51,20,44,22,16,24,0,0,276,557,
"Nar Nar Goon",93,52,111,48,68,64,56,55,11,3,448,1009,
"Nar Nar Goon North",71,50,74,36,48,28,27,38,5,0,344,724,
"Narbethong (Vic.)",9,9,18,10,11,9,6,22,3,0,97,199,
"Nareeb",12,0,0,0,0,0,0,0,0,0,23,40,
"Nareen",28,4,3,0,7,0,0,0,0,0,53,97,
"Nareewillock",9,0,0,0,0,0,0,0,0,0,12,19,
"Nariel Valley",23,0,3,4,0,4,0,4,0,0,56,93,
"Naring",23,6,8,10,3,0,0,8,0,0,57,115,
"Naringal",27,3,0,3,0,0,7,14,0,0,58,119,
"Naringal East",15,8,10,3,5,4,6,8,0,0,42,92,
"Naroghid",13,12,0,6,0,0,0,6,0,0,38,77,
"Narracan",28,16,16,8,10,0,8,10,0,0,147,252,
"Narraport",9,3,0,0,3,0,0,5,0,0,23,52,
"Narrapumelap South",20,3,0,0,0,0,0,0,0,0,7,32,
"Narrawong",34,41,22,24,14,9,16,15,8,6,206,388,
"Narre Warren",1109,1719,2168,1318,1881,1440,1240,1504,131,105,14003,26615,
"Narre Warren East",41,29,41,13,28,13,12,19,0,5,206,416,
"Narre Warren North",587,669,624,321,672,477,215,291,33,32,3760,7677,
"Narre Warren South",1552,2144,2320,1539,2247,1650,1231,1479,148,111,15901,30314,
"Narrung (Vic.)",5,0,0,0,0,0,0,0,0,0,5,14,
"Nathalia",133,117,97,74,88,75,58,138,11,5,1078,1880,
"Natimuk",45,35,38,27,15,13,16,31,4,0,280,515,
"Natte Yallock",28,4,0,7,0,0,0,5,0,0,56,92,
"Natya",17,0,5,5,0,3,0,0,0,0,13,36,
"Navarre",12,4,0,3,4,0,0,0,0,0,69,97,
"Navigators",23,26,21,12,15,6,12,7,0,3,133,253,
"Nayook",9,3,0,7,0,0,0,7,0,0,53,73,
"Neds Corner",3,0,0,0,0,0,0,0,0,0,5,8,
"Neereman",9,4,4,0,0,0,0,3,0,0,9,27,
"Neerim",23,13,21,13,8,6,11,9,5,0,101,200,
"Neerim East",28,19,19,4,18,7,9,5,0,0,88,195,
"Neerim Junction",21,5,7,4,8,5,0,3,0,0,63,127,
"Neerim North",5,0,5,0,3,0,0,0,0,0,30,46,
"Neerim South",97,109,81,50,56,43,48,60,7,4,758,1305,
"Neilborough",18,16,25,8,13,9,16,17,0,0,161,290,
"Nelse",0,0,0,0,0,0,0,0,0,0,0,0,
"Nelson (Vic.)",17,12,3,4,10,3,5,10,0,0,116,187,
"Nerrena",32,15,16,11,10,6,10,11,0,0,131,249,
"Nerrin Nerrin",21,4,0,0,0,0,0,0,0,0,15,44,
"Nerrina",63,155,83,56,68,31,13,35,5,0,452,963,
"Nerring",4,0,0,0,0,0,0,4,0,0,10,17,
"Netherby (Vic.)",34,6,4,6,5,0,0,3,0,0,69,123,
"Neuarpurr",13,5,5,4,3,0,0,7,0,0,22,54,
"New Gisborne",202,239,156,142,171,97,58,61,10,0,1267,2386,
"Newborough",182,329,523,348,351,296,205,311,32,23,4159,6760,
"Newbridge (Vic.)",24,12,0,10,9,11,7,15,0,3,111,190,
"Newbury",12,11,0,5,0,0,0,4,0,0,33,67,
"Newcomb",128,251,331,287,194,214,136,321,12,11,2623,4506,
"Newfield",14,4,0,0,6,0,0,7,0,0,36,73,
"Newham",49,64,31,22,28,9,6,15,3,0,266,501,
"Newhaven",31,45,41,13,16,24,5,14,0,3,252,443,
"Newington (Vic.)",103,289,92,80,101,75,37,73,3,3,1044,1901,
"Newlands Arm",16,34,46,35,27,30,12,36,6,0,488,729,
"Newlyn",25,15,3,7,4,0,5,4,0,0,62,123,
"Newlyn North",11,5,14,9,9,0,12,4,0,0,113,175,
"Newmerella",31,21,20,17,14,8,13,23,3,0,240,395,
"Newport (Vic.)",1274,2211,678,563,938,504,242,314,72,47,6085,12918,
"Newry",55,27,28,13,20,13,24,28,0,3,210,426,
"Newstead (Vic.)",41,52,42,50,24,24,19,38,0,0,465,753,
"Newtown (Golden Plains - Vic.)",0,3,3,11,6,3,5,8,4,0,75,118,
"Newtown (Greater Geelong - Vic.)",787,1615,466,580,592,431,119,258,45,22,5242,10148,
"Nhill",204,117,118,89,99,58,62,209,10,3,1213,2185,
"Nichols Point",142,136,120,61,113,88,47,63,6,4,775,1548,
"Nicholson (Vic.)",68,43,74,55,65,48,30,70,0,5,635,1094,
"Niddrie",436,686,354,274,492,280,105,177,50,19,2634,5479,
"Nilma",25,22,28,17,22,12,14,27,0,0,181,342,
"Nilma North",43,26,26,11,17,10,11,14,0,0,168,317,
"Ninda",5,0,0,0,0,0,0,0,0,0,7,15,
"Nine Mile (Vic.)",0,6,0,0,0,0,0,0,0,0,18,23,
"Nintingbool",10,17,21,6,18,9,11,5,0,0,76,175,
"Ninyeunook",0,0,0,0,0,0,0,0,0,0,7,11,
"Nirranda",19,5,0,0,6,0,0,0,0,0,29,58,
"Nirranda East",0,0,0,0,0,0,0,4,0,0,5,13,
"Nirranda South",28,3,0,6,0,0,3,12,0,0,27,79,
"Noble Park",820,1620,1805,1560,1438,1087,1558,2315,166,165,18460,30997,
"Noble Park North",259,444,470,305,427,311,351,427,38,32,4413,7465,
"Noojee",10,3,8,3,14,6,3,12,0,0,97,154,
"Noorat",43,17,24,17,14,19,13,31,0,0,161,337,
"Noorat East",4,6,0,0,0,0,3,6,0,0,11,21,
"Noorinbee",14,0,0,7,6,0,0,0,6,0,43,73,
"Noorinbee North",4,0,0,4,0,0,0,0,0,0,18,24,
"Noradjuha",18,4,9,7,3,0,0,3,0,0,25,81,
"Norlane",119,165,357,376,211,241,291,512,28,33,5968,8308,
"Normanville (Vic.)",8,0,0,3,0,0,0,0,0,0,19,36,
"Norong",17,6,7,4,11,0,3,10,0,3,56,123,
"North Bendigo",137,398,211,191,186,141,99,278,13,13,2396,4056,
"North Blackwood",4,3,0,0,0,0,0,3,0,0,28,49,
"North Geelong",124,206,162,146,140,111,82,135,10,12,1841,2968,
"North Melbourne",843,2875,445,769,766,576,136,339,73,40,8083,14939,
"North Shore (Vic.)",11,37,28,21,15,17,14,16,0,0,194,361,
"North Wangaratta",30,25,29,10,12,12,7,14,0,4,151,286,
"North Warrandyte",273,490,193,165,188,114,24,57,14,5,1437,2960,
"North Wonthaggi",106,94,195,151,124,147,77,180,9,10,1711,2801,
"Northcote",2101,5678,1051,1247,1542,954,231,481,121,87,11067,24567,
"Northwood (Vic.)",14,3,16,19,12,0,8,20,0,0,98,193,
"Norval",5,3,0,4,0,0,0,7,0,0,15,36,
"Notting Hill",122,479,122,118,161,125,60,97,5,7,1757,3055,
"Nowa Nowa",10,14,12,5,3,8,11,15,4,0,113,192,
"Nowhere Creek",4,4,0,0,0,0,0,0,0,0,5,21,
"Nowie",6,3,0,0,0,0,0,0,0,0,11,20,
"Nug Nug",0,3,4,0,0,0,0,3,0,0,13,23,
"Nuggetty",0,0,6,0,3,0,0,0,0,0,75,91,
"Nulla Vale",17,4,4,3,0,0,0,0,0,6,23,69,
"Nullawarre",55,12,10,6,10,5,3,17,0,0,151,267,
"Nullawarre North",14,5,3,0,0,0,4,8,0,0,21,60,
"Nullawil",21,5,4,3,0,0,0,3,0,0,47,92,
"Numurkah",242,239,246,216,178,182,164,298,13,31,2672,4473,
"Nunawading",728,1705,649,545,796,493,208,403,42,36,6280,11880,
"Nungurner",25,23,14,7,16,15,5,3,0,0,168,284,
"Nunniong",0,0,0,0,0,0,0,0,0,0,0,0,
"Nurcoung",16,0,3,0,0,0,0,0,0,0,19,39,
"Nurrabiel",11,3,0,3,0,0,0,3,0,0,32,64,
"Nurran",0,0,0,0,0,0,0,0,0,0,3,4,
"Nutfield",15,21,13,0,9,3,0,0,0,3,87,154,
"Nyah",32,24,29,31,9,20,22,34,3,4,328,529,
"Nyah West",30,15,23,20,11,20,16,39,4,0,485,665,
"Nyarrin",3,3,0,0,0,0,0,0,0,0,10,23,
"Nyerimilang",0,0,0,0,0,0,0,0,0,0,3,3,
"Nyora (Vic.)",106,52,138,71,75,58,86,90,7,5,840,1527,
"Nyrraby",3,0,0,0,0,0,0,0,0,0,11,22,
"Oak Park",396,806,392,307,498,291,125,247,23,20,3092,6205,
"Oaklands Junction",53,39,34,16,18,33,15,14,6,0,217,433,
"Oakleigh",509,1128,427,332,543,381,125,271,32,24,4116,7895,
"Oakleigh East",331,823,352,281,425,328,146,238,25,23,3462,6445,
"Oakleigh South",517,1032,610,435,663,463,229,385,40,41,4851,9259,
"Oakvale",3,3,0,6,0,0,0,5,0,0,8,20,
"Ocean Grange",0,0,0,0,0,0,0,0,0,0,0,0,
"Ocean Grove",791,1708,1061,849,792,604,220,481,55,45,7559,14161,
"Officer",471,708,662,423,641,431,246,295,20,23,3221,7134,
"Officer South",17,3,3,0,10,4,0,0,0,0,39,81,
"Old Tallangatta",4,6,0,0,0,0,5,4,0,6,23,35,
"Olinda (Vic.)",184,233,127,95,92,56,14,54,11,7,862,1742,
"Ombersley",17,7,7,0,4,0,5,6,0,0,49,95,
"Omeo",42,16,23,25,14,9,15,32,0,4,220,406,
"Omeo Valley",0,0,0,0,0,0,0,0,0,0,0,5,
"Ondit",12,3,4,7,5,5,5,5,0,4,47,96,
"Orbost",89,70,89,109,70,68,53,116,0,6,1546,2232,
"Orford (Vic.)",31,6,8,0,3,4,3,13,0,0,40,102,
"Ormond",644,1486,386,426,577,407,116,248,52,14,4067,8418,
"Orrvale",53,24,30,11,22,29,22,34,0,0,206,439,
"Osbornes Flat",18,34,21,18,16,11,5,5,0,0,109,236,
"Outtrim",32,15,11,3,9,10,5,15,3,0,126,234,
"Ouyen",113,59,66,50,43,34,52,64,0,3,703,1195,
"Ovens",16,14,15,6,11,12,16,17,0,0,103,222,
"Oxley (Vic.)",54,56,55,38,22,16,20,27,3,0,328,630,
"Oxley Flats",14,7,3,6,3,0,0,0,0,0,19,54,
"Ozenkadnook",8,3,0,0,0,0,0,3,0,0,10,28,
"Paaratte",14,0,0,0,0,0,0,3,0,0,15,36,
"Painswick",0,0,0,0,0,0,0,0,0,0,6,7,
"Pakenham",1955,2739,3601,2379,2926,2341,1976,2521,157,167,25677,46419,
"Pakenham South",25,12,13,13,10,11,20,11,6,0,102,212,
"Pakenham Upper",110,128,128,65,81,52,28,35,10,0,542,1176,
"Panitya (Vic.)",20,0,3,5,6,0,0,3,0,0,31,71,
"Panmure",45,31,22,11,22,19,24,28,0,3,217,421,
"Panton Hill",91,130,112,56,73,47,14,39,13,0,484,1062,
"Paradise (Vic.)",4,3,0,0,0,0,0,5,0,0,27,41,
"Paradise Beach",4,10,9,5,7,7,0,11,0,0,119,159,
"Paraparap",12,11,16,13,14,8,4,6,0,0,67,150,
"Park Orchards",407,532,204,158,269,211,33,106,11,23,1863,3823,
"Parkdale",995,1719,699,601,870,628,134,262,54,26,5764,11746,
"Parkville (Vic.)",353,1465,165,494,391,284,42,265,35,21,3905,7409,
"Parwan",12,12,23,6,12,6,11,7,0,0,80,171,
"Paschendale",11,3,0,0,0,0,0,0,0,0,18,37,
"Pascoe Vale",1032,2246,1055,795,1318,740,359,567,81,56,8795,17047,
"Pascoe Vale South",665,1424,575,456,801,488,153,272,47,25,5166,10067,
"Pastoria",8,10,3,0,3,0,0,0,0,0,14,41,
"Pastoria East",4,4,0,3,5,3,0,0,0,0,23,34,
"Patchewollock",32,0,0,5,0,9,0,0,0,0,85,133,
"Patho",17,6,4,3,3,6,5,9,0,0,50,105,
"Patterson Lakes",681,773,519,307,657,434,149,235,49,23,3750,7564,
"Patyah",17,3,4,4,0,0,0,4,0,0,23,65,
