Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by OCCP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"OCCP - 1 Digit Level","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Inadequately described","Not stated","Not applicable","Total",
"Babyl Creek",0,0,0,0,0,0,0,5,0,0,3,6,
"Back Creek (Bland - NSW)",10,3,0,0,0,0,5,0,0,0,32,51,
"Back Creek (Gwydir - NSW)",3,0,0,0,0,0,0,4,0,0,3,12,
"Back Creek (Mid-Coast - NSW)",6,0,0,0,0,0,0,0,0,0,15,17,
"Back Creek (Queanbeyan-Palerang Regional - NSW)",0,0,0,0,0,0,0,0,0,0,11,12,
"Back Creek (Tenterfield - NSW)",3,0,0,0,0,0,0,0,0,0,7,12,
"Back Creek (Tweed - NSW)",8,0,0,0,0,3,0,0,0,0,3,14,
"Back Forest",4,19,3,4,5,3,0,3,0,0,35,83,
"Backmede",9,12,14,7,13,0,4,11,0,0,84,153,
"Backwater",0,6,0,0,0,0,0,0,0,0,3,13,
"Badgerys Creek",23,13,10,5,9,3,15,9,3,0,140,229,
"Badja",0,0,0,0,0,0,0,0,0,0,9,9,
"Baerami",11,3,5,0,4,0,4,6,0,0,40,69,
"Baerami Creek",12,0,5,0,3,0,0,0,0,0,35,53,
"Bagnoo",0,4,3,0,0,0,0,0,0,0,27,40,
"Bago",4,0,4,3,0,0,0,3,0,0,23,41,
"Bagotville",3,6,0,3,0,0,0,6,0,0,20,47,
"Bakers Creek (Mid-Coast - NSW)",5,3,0,0,4,0,0,0,0,0,26,35,
"Bakers Creek (Nambucca - NSW)",0,0,0,0,0,0,0,0,0,0,12,14,
"Bakers Creek (Uralla - NSW)",4,0,0,0,0,0,0,0,0,0,5,13,
"Bakers Swamp",16,0,4,0,0,0,0,0,0,0,25,50,
"Balaclava (NSW)",27,31,60,24,23,25,13,28,4,0,263,497,
"Balala",21,4,0,3,8,0,0,8,0,0,87,139,
"Balcolyn",35,62,75,49,40,47,30,34,5,4,580,961,
"Bald Blair",17,0,9,0,0,0,0,3,0,0,18,48,
"Bald Hills (NSW)",16,23,19,8,10,11,5,9,0,0,154,263,
"Bald Nob",4,0,0,0,0,0,0,0,0,0,9,12,
"Bald Ridge",0,0,0,0,0,0,0,0,0,0,3,7,
"Baldersleigh",10,3,3,0,4,0,0,0,0,0,21,54,
"Baldry",23,8,4,0,3,0,0,8,0,0,53,97,
"Balfours Peak",9,5,0,0,4,0,0,0,0,0,22,37,
"Balgowlah",906,1386,348,334,537,365,77,131,43,25,3808,7963,
"Balgowlah Heights",394,587,57,108,191,128,9,33,20,6,1810,3345,
"Balgownie",327,635,351,260,352,224,120,169,25,22,3053,5529,
"Balickera",0,0,0,0,0,0,0,0,0,0,13,25,
"Balladoran",16,3,4,9,7,0,3,6,0,0,51,109,
"Ballalaba",3,0,0,0,0,0,0,4,0,0,12,18,
"Balldale",27,8,0,0,0,3,0,6,0,0,99,159,
"Ballengarra",3,8,4,5,3,3,5,5,0,0,53,92,
"Ballimore",28,11,12,4,12,9,9,8,0,0,105,197,
"Ballina",278,444,451,403,305,351,153,425,24,25,5797,8648,
"Ballyroe",3,0,0,0,0,0,0,0,0,0,0,5,
"Balmain",1334,2412,301,348,639,369,50,103,58,9,4816,10447,
"Balmain East",246,442,39,64,100,63,11,18,18,0,937,1937,
"Balmoral (Lake Macquarie - NSW)",33,60,68,41,51,32,26,38,4,0,367,723,
"Balmoral (Wingecarribee - NSW)",33,32,48,20,20,20,12,27,0,4,195,424,
"Balranald",85,52,69,71,59,20,74,115,4,12,785,1345,
"Bamarang",0,0,0,3,0,3,0,3,0,0,7,29,
"Banda Banda",0,0,0,0,0,0,0,0,0,0,0,0,
"Bandon Grove",22,7,6,3,13,4,4,7,0,0,57,119,
"Bangadang",5,0,0,0,0,0,0,0,0,0,6,11,
"Bangalee (NSW)",51,80,50,33,40,44,16,20,0,0,326,659,
"Bangalow",171,273,115,101,95,90,31,79,14,5,1037,2021,
"Bangheet",13,0,0,0,0,0,0,4,0,0,12,40,
"Bango",27,12,6,0,5,0,3,3,0,0,37,99,
"Bangor (NSW)",463,712,371,261,539,310,120,141,28,20,2609,5567,
"Banksia",179,325,195,185,243,154,128,182,21,9,1781,3383,
"Banksmeadow",0,0,4,0,0,3,0,0,0,0,6,18,
"Bankstown",872,1976,1530,1481,1409,1203,1206,1484,158,171,20625,32116,
"Bankstown Aerodrome",0,0,0,0,0,0,0,0,0,0,0,0,
"Bannaby",3,3,0,5,0,0,0,0,0,0,22,34,
"Bannister (NSW)",23,16,5,7,7,11,8,5,0,0,53,123,
"Banoon",5,0,0,0,0,0,0,3,0,0,13,26,
"Banora Point",611,912,933,920,870,869,350,699,54,47,9896,16169,
"Banyabba",0,0,0,0,0,0,3,3,0,0,35,45,
"Bar Beach",78,277,50,73,70,35,19,29,10,7,610,1258,
"Bar Point",3,9,4,4,0,0,0,4,0,0,42,66,
"Bara",3,5,0,0,0,0,0,0,0,0,19,30,
"Baradine",46,37,23,30,18,9,19,50,3,9,525,759,
"Barangaroo",22,30,3,0,4,4,0,4,0,0,112,190,
"Barcoongere",0,0,0,0,0,0,0,0,0,0,0,0,
"Barden Ridge",377,563,358,238,434,252,102,140,30,10,1808,4330,
"Bardia",85,201,136,69,146,51,57,42,12,7,785,1605,
"Bardwell Park",164,317,132,84,198,100,63,61,23,5,1099,2235,
"Bardwell Valley",140,266,140,78,168,93,83,81,12,9,1256,2326,
"Barellan",82,23,21,3,26,8,22,26,0,9,318,540,
"Bargo",244,248,404,195,268,197,209,222,23,13,2367,4393,
"Barham",115,85,67,56,54,46,42,99,7,11,934,1516,
"Barigan",0,0,0,0,0,0,0,0,0,0,4,5,
"Barkers Vale",13,15,6,5,3,3,0,4,0,0,110,164,
"Barmedman",53,12,19,9,9,7,4,23,3,0,324,457,
"Barneys Reef",0,0,0,0,0,0,0,0,0,0,0,0,
"Barnsley",49,72,171,85,128,97,97,132,6,4,904,1752,
"Barooga",132,91,113,85,80,62,57,132,9,10,1042,1816,
"Barraba",87,54,46,48,40,34,17,71,4,0,990,1410,
"Barrack Heights",163,278,431,333,283,261,227,292,26,14,3603,5904,
"Barrack Point",45,58,46,21,36,34,17,26,0,3,396,691,
"Barraganyatti",5,8,9,7,7,0,4,10,0,0,87,133,
"Barragga Bay",7,5,8,6,10,3,0,9,0,0,53,95,
"Barratta (NSW)",3,0,0,0,0,0,0,0,0,0,0,5,
"Barren Grounds",0,0,0,0,0,0,0,0,0,0,0,0,
"Barrengarry",24,18,8,8,9,10,6,7,0,0,115,196,
"Barretts Creek",0,0,3,0,0,0,0,0,0,0,6,10,
"Barringella",0,3,5,0,4,0,0,4,0,0,16,25,
"Barrington (NSW)",31,22,21,6,18,4,14,13,5,0,222,358,
"Barrington Tops",0,0,0,0,0,0,0,0,0,0,0,0,
"Barry (Blayney - NSW)",15,8,15,3,11,7,11,11,0,4,93,167,
"Barry (Upper Hunter Shire - NSW)",0,0,0,0,0,0,0,0,0,0,4,4,
"Barwang",20,7,0,5,6,3,0,4,0,0,36,83,
"Barwon",8,0,0,0,6,0,0,0,0,0,19,31,
"Baryulgil",3,0,0,5,3,0,0,6,0,0,74,92,
"Basin View",53,75,102,88,62,68,44,73,3,8,982,1552,
"Bass Hill",293,533,516,352,519,326,318,343,52,37,5779,9067,
"Bassendean (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Batar Creek",6,8,0,0,0,0,4,5,0,0,55,81,
"Bateau Bay",525,929,846,641,663,639,292,527,34,33,7011,12149,
"Batehaven",54,85,74,84,74,84,37,77,14,8,1189,1780,
"Batemans Bay",65,32,63,71,26,67,26,62,3,7,1112,1530,
"Bathampton",5,4,4,3,6,0,3,0,0,0,14,37,
"Bathurst",331,711,407,492,300,365,151,360,31,19,3764,6930,
"Batlow",74,57,63,59,46,20,70,155,4,16,760,1312,
"Baulkham Hills",2791,5677,1991,1522,3015,1664,588,924,180,122,18567,37053,
"Baw Baw (NSW)",16,23,17,20,13,9,6,12,0,0,143,258,
"Bawley Point",32,50,43,26,33,28,9,29,3,0,443,700,
"Baxters Ridge",0,0,0,0,0,0,0,0,0,0,0,0,
"Bayview (NSW)",338,387,139,132,208,123,31,53,23,5,2181,3620,
"Beacon Hill",623,1001,467,364,589,350,138,269,36,24,3600,7456,
"Beaconsfield (NSW)",125,209,55,61,89,44,19,47,9,4,323,991,
"Bean Creek",11,3,0,0,0,0,0,0,0,0,52,79,
"Bearbong",28,0,0,0,0,4,0,0,0,0,20,59,
"Beaumont (NSW)",11,21,6,0,5,5,4,6,0,0,72,127,
"Beaumont Hills",858,1292,457,359,809,495,147,213,58,35,4320,9038,
"Beckom",24,4,6,5,10,4,5,3,0,0,66,129,
"Bective",34,17,17,6,10,6,10,10,6,0,100,210,
"Bectric",12,3,0,0,3,0,0,5,0,0,28,57,
"Bedgerabong",24,5,10,3,9,5,3,11,0,5,84,149,
