Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Backwater",13,0,0,0,0,0,0,0,0,0,0,13,
"Badgerys Creek",136,24,0,7,0,10,35,0,0,0,8,229,
"Badja",7,0,0,0,0,0,0,0,0,0,3,9,
"Baerami",56,0,0,0,0,0,0,0,0,0,14,69,
"Baerami Creek",29,0,0,0,0,0,0,0,0,0,22,53,
"Bagnoo",43,0,0,0,0,0,0,0,0,0,0,40,
"Bago",31,0,0,0,0,0,0,0,0,0,5,41,
"Bagotville",43,0,0,0,0,0,0,0,0,0,7,47,
"Bakers Creek (Mid-Coast - NSW)",35,0,0,0,0,0,0,0,0,0,0,35,
"Bakers Creek (Nambucca - NSW)",9,0,0,0,0,0,0,0,0,0,7,14,
"Bakers Creek (Uralla - NSW)",13,0,0,0,0,0,0,0,0,0,0,13,
"Bakers Swamp",42,0,0,0,0,0,0,0,0,0,10,50,
"Balaclava (NSW)",392,15,0,0,0,9,12,0,0,0,65,497,
"Balala",109,0,3,0,0,0,0,0,0,0,32,139,
"Balcolyn",888,8,0,0,0,3,6,0,6,0,48,961,
"Bald Blair",42,0,0,0,0,0,0,0,0,0,0,48,
"Bald Hills (NSW)",245,0,0,0,0,0,0,0,0,0,13,263,
"Bald Nob",12,0,0,0,0,0,0,0,0,0,0,12,
"Bald Ridge",7,0,0,0,0,0,0,0,0,0,0,7,
"Baldersleigh",44,0,4,0,0,0,0,0,0,0,5,54,
"Baldry",91,0,0,0,0,0,0,0,0,0,9,97,
"Balfours Peak",32,0,0,0,0,0,0,0,0,0,0,37,
"Balgowlah",6637,346,93,47,84,86,197,0,13,19,447,7963,
