Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by LANP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LANP - 1 Digit Level","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Supplementary codes","Not stated","Total",
"Piggoreet",32,0,7,0,0,0,0,0,0,0,4,41,
"Pimpinio",170,0,0,0,0,0,0,0,0,0,14,182,
"Pine Grove (Vic.)",34,0,0,0,0,0,0,0,0,0,3,33,
"Pine Lodge (Vic.)",239,0,0,0,0,0,0,0,0,0,0,241,
"Pine Mountain (Vic.)",34,0,0,0,0,0,0,0,0,0,0,33,
"Pine View",0,0,0,0,0,0,0,0,0,0,0,0,
"Pioneer Bay",304,0,3,0,0,0,0,0,0,0,37,350,
"Pipers Creek",129,0,0,0,0,0,0,0,0,0,29,160,
"Pira",9,0,0,0,0,0,0,0,0,0,8,10,
"Piries",46,0,0,0,0,0,0,0,0,0,8,55,
"Pirron Yallock",105,0,3,0,0,0,0,0,0,0,0,111,
"Pitfield",47,0,0,0,0,0,0,0,0,0,3,51,
"Pittong",13,0,0,0,0,0,0,0,0,0,0,14,
"Plenty (Vic.)",1999,127,79,29,13,14,9,0,6,3,81,2362,
"Plumpton (Vic.)",1973,330,294,201,639,409,89,0,84,17,291,4324,
"Point Cook",26018,1945,1673,1028,6498,2892,6312,0,1093,247,2227,49934,
"Point Leo",148,3,0,0,0,0,0,0,0,0,6,160,
"Point Lonsdale",2419,30,10,8,3,8,19,0,3,5,190,2684,
"Point Wilson",0,0,0,0,0,0,0,0,0,0,0,0,
"Polisbet",12,0,0,0,0,0,0,0,0,0,0,12,
"Pomborneit",63,0,0,0,0,0,0,0,0,0,3,64,
"Pomborneit East",21,0,0,0,0,0,0,0,0,0,4,28,
"Pomborneit North",57,0,0,0,0,0,0,0,0,0,11,67,
"Pomonal",304,5,3,0,0,4,0,0,0,0,10,324,
"Pompapiel",34,0,0,0,0,0,0,0,0,0,11,52,
"Poolaijelo",36,0,0,0,0,0,0,0,0,0,0,38,
"Pootilla",71,0,0,0,0,0,0,0,0,0,10,80,
"Poowong",612,0,0,0,0,0,10,0,0,0,18,643,
"Poowong East",72,0,0,0,0,0,0,0,0,0,3,79,
"Poowong North",168,0,0,0,0,0,0,0,0,0,10,187,
"Porcupine Ridge",105,0,3,4,0,0,0,0,0,0,12,123,
"Porepunkah",846,7,11,0,0,0,0,0,0,0,76,940,
"Port Albert",253,3,4,0,0,4,0,0,0,0,27,294,
"Port Campbell",384,6,5,0,0,0,5,0,0,0,82,475,
"Port Fairy",3001,25,6,4,7,0,8,0,0,0,280,3341,
"Port Franklin",127,0,0,0,0,0,0,0,0,0,0,133,
"Port Melbourne",11949,1378,485,198,97,186,402,0,58,28,1394,16180,
"Port Welshpool",173,3,0,0,0,0,0,0,0,0,29,208,
"Portarlington",3127,99,33,4,0,7,11,0,3,0,326,3619,
"Portland (Vic.)",8696,32,20,11,59,67,23,4,9,0,783,9714,
"Portland North",574,0,0,0,0,0,3,0,0,0,47,618,
"Portland West",538,0,0,0,0,3,0,0,0,0,15,564,
"Portsea",467,8,0,0,0,0,0,0,0,0,34,510,
"Pound Creek",95,0,0,0,0,0,0,0,0,0,5,104,
"Powelltown",183,0,0,0,0,0,0,0,0,0,24,211,
"Powers Creek",11,0,0,0,0,0,0,0,0,0,0,11,
"Powlett Plains",34,0,0,0,0,0,0,0,0,0,7,44,
"Prahran",9016,1134,267,155,219,255,499,0,47,15,1371,12982,
"Prairie (Vic.)",61,0,0,0,0,0,0,0,0,0,6,64,
"Pranjip",21,0,0,0,0,0,0,0,0,0,0,21,
"Preston (Vic.)",17917,4733,1112,1298,1583,1393,2052,10,346,124,2294,32848,
"Princes Hill",1587,195,30,34,5,28,52,0,51,0,146,2128,
"Princetown",218,0,0,0,0,0,0,0,0,0,25,242,
"Puckapunyal",972,3,0,3,0,10,9,0,0,6,76,1075,
"Pura Pura",35,0,0,0,0,0,0,0,0,0,4,33,
"Purdeet",19,0,0,0,0,0,0,0,0,0,0,19,
"Purnim",234,0,0,0,0,0,0,0,0,0,40,273,
"Purnim West",37,0,0,0,0,0,0,0,0,0,0,37,
"Pyalong",590,15,4,14,0,0,0,0,0,0,41,660,
"Pyramid Hill",471,4,0,0,0,54,7,0,0,0,20,560,
"Quambatook",225,0,0,0,0,0,0,0,0,0,23,250,
"Quandong",0,0,0,0,0,0,0,0,0,0,0,0,
"Quantong",292,0,0,0,0,0,0,0,0,0,12,310,
"Quarry Hill",2117,13,5,0,42,10,12,0,10,6,130,2341,
"Queenscliff (Vic.)",1187,11,12,0,4,3,0,0,0,4,96,1317,
"Raglan (Vic.)",201,0,0,0,0,0,0,0,0,0,23,228,
"Rainbow",629,0,0,0,3,3,3,0,3,0,34,683,
"Ranceby",63,5,0,0,0,0,0,0,0,0,5,65,
"Rathscar",23,0,0,0,0,0,0,0,0,0,0,23,
"Rathscar West",22,0,0,0,0,0,0,0,0,0,0,22,
"Ravenhall",7,3,0,0,0,0,0,0,4,0,1146,1155,
"Ravenswood (Vic.)",414,0,3,0,0,0,0,0,0,3,13,439,
"Ravenswood South",70,0,0,0,0,0,0,0,0,0,10,78,
"Rawson",271,0,0,0,0,4,0,0,0,0,14,293,
"Raymond Island",491,9,0,0,0,0,0,0,0,0,43,552,
"Raywood",303,0,0,0,0,0,0,0,0,0,18,321,
"Red Cliffs",4304,127,24,36,13,39,23,5,17,3,470,5060,
"Red Hill (Vic.)",841,7,3,0,0,4,4,0,0,0,64,921,
"Red Hill South",534,10,4,0,4,0,0,0,0,0,53,598,
"Red Lion",101,0,6,0,0,0,0,0,0,0,15,122,
"Redan",2537,22,7,11,26,14,12,7,0,3,251,2887,
"Redbank (Vic.)",82,0,0,0,0,0,0,0,0,0,3,91,
"Redcastle",61,0,0,0,0,0,0,0,0,0,4,68,
"Redesdale",211,4,0,0,0,0,0,0,0,0,24,242,
"Reedy Creek (Vic.)",154,4,0,0,0,0,9,0,0,0,0,164,
"Reedy Dam",20,0,0,0,0,0,0,0,0,0,0,20,
"Reedy Flat",31,0,0,0,0,0,4,0,0,0,8,38,
"Reedy Lake",29,0,0,0,0,0,0,0,0,0,0,32,
"Reefton (Vic.)",50,0,0,0,0,3,0,0,0,0,3,59,
"Research",2419,76,8,3,6,0,26,0,6,0,96,2651,
"Reservoir (Vic.)",23877,8538,1644,3241,3923,1913,2958,0,581,226,3572,50479,
"Reynard",0,0,0,0,0,0,0,0,0,0,0,0,
"Rheola",46,0,0,0,0,0,0,0,0,0,4,52,
"Rhyll",526,9,5,0,0,3,0,0,0,0,30,567,
"Rhymney",47,0,0,0,0,0,0,0,0,0,10,59,
"Riachella",5,0,0,0,0,0,0,0,0,0,0,4,
"Rich Avon",5,0,0,0,0,0,0,0,0,0,0,5,
"Rich Avon East",3,0,0,0,0,0,0,0,0,0,0,3,
"Rich Avon West",26,0,0,0,0,0,0,0,0,0,3,31,
"Richmond (Vic.)",18469,1909,327,265,321,2160,1667,3,354,65,2168,27706,
"Richmond Plains",0,0,0,0,0,0,0,0,0,0,0,0,
"Riddells Creek",3676,74,15,13,0,0,14,0,0,4,151,3945,
"Riggs Creek",30,0,0,0,0,0,0,0,0,0,0,30,
"Ringwood (Vic.)",11965,460,257,312,762,1074,1766,0,107,64,700,17468,
"Ringwood East",7739,173,121,137,308,591,721,0,44,36,397,10261,
"Ringwood North",8106,342,136,87,127,93,581,0,15,27,311,9830,
"Ripplebrook",197,0,0,0,0,0,0,0,0,0,24,223,
"Rippleside",728,31,46,0,4,13,0,0,3,0,51,875,
"Ripponlea",1127,59,51,43,61,22,55,0,4,3,158,1575,
"Riverside (Vic.)",263,0,0,0,0,0,0,0,5,0,8,276,
"Riverslea",134,0,0,0,0,3,0,0,0,0,6,149,
"Robertsons Beach",49,0,0,0,0,0,0,0,0,0,4,58,
"Robinvale",1629,185,0,19,64,309,148,0,259,3,470,3086,
"Rochester (Vic.)",2847,11,6,0,7,16,7,0,3,4,214,3115,
"Rochford",58,0,0,0,0,0,0,0,0,0,16,78,
"Rockbank",958,156,53,20,59,23,6,0,14,3,239,1538,
"Rocklands",10,0,0,0,0,0,0,0,0,0,3,19,
"Rocklyn",48,5,0,0,0,0,0,0,0,0,7,61,
"Rocky Point (Vic.)",5,0,0,0,0,0,0,0,0,0,0,5,
"Rokeby (Vic.)",168,0,0,0,0,0,0,0,0,0,8,183,
"Rokewood",196,0,4,0,0,0,0,0,0,0,15,222,
"Rokewood Junction",32,0,0,0,0,0,0,0,0,0,6,36,
"Romsey",4303,85,32,22,3,11,10,0,0,6,279,4752,
"Rosanna",6318,627,246,117,197,97,443,0,30,9,407,8498,
"Rose River",18,3,0,0,0,0,0,0,0,0,0,30,
"Rosebery (Vic.)",4,0,0,0,0,0,0,0,0,0,0,8,
"Rosebrook (Vic.)",120,0,0,3,0,0,0,0,0,0,12,130,
"Rosebud",11677,352,89,14,49,73,61,4,23,14,836,13190,
"Rosebud West",4227,170,27,6,32,20,25,0,0,8,407,4930,
"Rosedale (Vic.)",1476,13,4,0,0,14,0,0,4,3,150,1658,
"Roses Gap",9,0,0,0,0,0,0,0,0,0,0,9,
"Rosewhite",120,0,0,0,0,0,0,0,3,0,10,136,
"Roslynmead",44,0,0,0,0,0,0,0,0,0,0,49,
"Ross Creek (Vic.)",1086,4,6,0,0,3,0,0,0,0,50,1153,
"Rossbridge",25,0,0,0,0,0,0,0,0,0,7,33,
"Rostron",18,0,0,0,0,0,0,0,0,0,0,18,
"Rowsley",181,0,0,0,0,5,0,0,0,0,14,189,
"Rowville",22998,1626,769,1057,1930,1014,3087,0,136,121,935,33669,
"Roxburgh Park",5758,887,290,10202,1831,828,295,6,480,127,1104,21812,
"Rubicon",42,0,0,0,0,0,0,0,0,0,4,52,
"Ruby",172,4,0,0,0,0,0,0,0,0,19,187,
"Ruffy",109,0,0,0,0,0,0,0,0,0,0,112,
"Running Creek (Vic.)",34,0,0,0,0,0,0,0,0,0,9,46,
"Runnymede (Vic.)",51,0,0,0,0,0,0,0,0,0,8,58,
"Rupanyup",491,8,0,0,11,0,0,0,5,0,27,536,
"Rushworth",1202,8,3,8,0,16,0,0,0,0,97,1337,
"Russells Bridge",64,0,0,0,0,0,0,0,0,0,3,68,
"Rutherglen",2211,8,0,0,6,8,3,0,0,0,139,2385,
"Ryans",0,0,0,0,0,0,0,0,0,0,0,0,
"Ryanston",258,6,0,0,0,0,0,0,0,0,5,268,
"Rye",7241,419,71,26,16,25,18,0,13,5,583,8418,
"Rythdale",14,8,0,0,0,0,0,0,0,0,19,36,
"Safety Beach (Vic.)",4094,269,38,18,0,12,17,0,4,3,365,4825,
"Sailors Falls",57,0,3,0,0,0,0,0,0,0,9,65,
"Sailors Gully",644,0,0,4,0,0,0,0,0,0,54,708,
"Sailors Hill",62,0,9,0,0,0,0,0,0,0,9,80,
"Sale",11893,92,73,21,234,171,119,5,22,22,1030,13672,
"Salisbury West",19,0,0,0,0,0,0,0,0,0,0,19,
"Samaria",44,0,0,0,0,0,0,0,0,0,7,53,
"San Remo (Vic.)",1104,7,0,10,8,6,14,0,0,0,94,1257,
"Sandford (Vic.)",131,0,0,0,0,0,0,0,0,0,11,145,
"Sandhill Lake",6,0,0,0,0,0,0,0,0,0,0,6,
"Sandhurst",3998,171,91,70,156,102,153,0,38,17,185,4983,
"Sandon (Vic.)",63,0,3,0,0,0,4,0,0,0,6,82,
"Sandringham (Vic.)",8771,401,189,55,33,43,193,0,12,25,524,10242,
"Sandy Creek (Vic.)",173,0,0,0,0,0,0,0,0,0,6,180,
"Sandy Point (Vic.)",233,0,0,0,4,0,0,0,0,0,28,267,
"Sargood",0,0,0,0,0,0,0,0,0,0,0,0,
"Sarsfield",564,4,4,0,3,0,0,0,0,4,52,626,
"Sassafras (Vic.)",938,15,19,6,0,8,4,0,0,0,74,1064,
"Sawmill Settlement",82,0,0,0,0,0,5,0,0,0,9,87,
"Scarsdale",695,3,0,0,0,0,0,0,0,0,39,744,
"Scoresby",3928,168,63,148,525,187,748,0,17,11,235,6019,
"Scotchmans Lead",89,0,0,0,0,0,0,0,0,0,9,99,
"Scotsburn",220,0,0,0,0,0,0,0,0,0,29,258,
"Scotts Creek (Vic.)",219,0,0,0,0,0,0,0,0,0,28,245,
"Sea Lake",554,0,0,0,0,5,3,0,0,0,74,642,
"Seabrook",3014,311,274,151,405,265,343,0,48,17,288,5122,
"Seacombe",18,0,0,0,0,0,0,0,0,0,4,15,
"Seaford (Vic.)",13759,441,320,106,94,168,186,6,110,30,1245,16462,
"Seaholme",1486,159,63,10,15,35,43,0,0,8,106,1925,
"Seaspray",277,0,4,0,0,4,0,0,0,0,34,320,
"Seaton (Vic.)",141,0,0,0,0,3,0,0,0,0,14,157,
"Seaview",113,0,7,0,0,0,0,0,0,0,6,125,
"Sebastian",202,0,0,0,0,0,0,0,0,0,14,215,
"Sebastopol (Vic.)",8842,31,40,38,107,77,61,0,68,22,757,10035,
"Seddon (Vic.)",3590,270,179,36,160,344,185,0,42,16,301,5124,
"Sedgwick",488,0,0,0,5,0,0,0,0,0,56,549,
"Selby",1489,19,10,5,0,0,13,0,6,0,111,1650,
"Selwyn (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,
"Separation Creek",16,0,0,0,0,0,0,0,0,0,0,18,
"Serpentine (Vic.)",169,0,0,0,0,0,0,0,0,0,23,196,
"Serviceton",108,0,0,0,0,0,0,0,0,0,9,121,
"Seville",2257,37,7,3,0,7,6,0,8,0,53,2374,
"Seville East",755,4,0,0,0,0,0,0,0,0,33,795,
"Seymour (Vic.)",5216,78,26,15,44,62,133,0,6,13,735,6332,
"Shady Creek",173,0,0,0,0,0,0,0,0,0,9,186,
"Shays Flat",13,0,0,0,0,0,0,0,0,0,0,13,
"She Oaks",110,0,0,0,0,0,0,0,0,0,0,110,
"Sheans Creek",27,0,0,0,0,0,0,0,0,0,4,32,
"Sheep Hills",26,0,0,0,0,0,0,0,0,0,7,27,
"Shelbourne",408,0,0,0,0,0,8,0,0,0,35,455,
"Shelford",246,0,0,0,0,0,0,0,0,0,7,253,
"Shelley (Vic.)",3,0,0,0,0,0,0,0,0,0,0,3,
"Shepherds Flat",62,5,0,0,0,0,0,0,0,0,0,66,
"Shepparton",22039,779,492,2453,1339,328,400,13,467,71,2806,31193,
"Shepparton East",809,64,56,22,59,6,14,0,0,0,104,1135,
"Shepparton North",733,19,19,45,85,7,14,0,44,4,72,1036,
"Sherbrooke",243,0,10,0,0,4,0,0,0,0,8,265,
"Shoreham",531,4,3,0,0,0,0,0,0,0,57,603,
"Sidonia",15,0,0,0,0,0,0,0,0,0,0,16,
"Silvan",1083,64,19,0,0,0,7,0,0,0,70,1249,
"Silverleaves",197,6,4,0,0,0,0,0,0,0,7,216,
"Simpson (Vic.)",507,3,0,0,0,6,0,0,0,0,53,575,
"Simpsons Creek",35,0,0,0,0,0,0,0,0,0,3,38,
"Simson",55,0,0,0,0,0,0,0,0,0,10,68,
"Skenes Creek",134,8,0,0,0,0,0,0,0,0,22,163,
"Skenes Creek North",10,0,0,0,0,0,0,0,0,0,8,12,
"Skibo",56,0,0,0,0,0,0,0,0,0,0,61,
"Skinners Flat",16,0,0,0,0,0,0,0,0,0,4,22,
"Skipton",507,0,3,0,0,0,0,0,0,0,66,587,
"Skye (Vic.)",6602,197,142,135,276,179,81,0,111,30,337,8094,
"Slaty Creek",37,0,0,0,0,0,0,0,0,0,4,37,
"Smeaton",203,0,0,0,0,0,0,0,0,0,23,230,
"Smiths Beach",183,8,4,0,0,0,0,0,0,0,29,227,
"Smiths Gully",332,4,5,0,0,0,0,0,0,0,22,372,
"Smokeytown",27,0,0,0,0,0,0,0,0,0,6,28,
"Smoko",43,7,0,0,0,0,0,0,0,0,4,48,
"Smythes Creek",1379,5,12,0,8,5,3,0,0,0,60,1467,
"Smythesdale",969,4,0,0,0,3,0,0,0,0,48,1037,
"Snake Island",0,0,0,0,0,0,0,0,0,0,0,0,
"Snake Valley",644,3,6,4,0,3,0,0,3,0,74,741,
"Soldiers Hill (Vic.)",2485,26,25,5,37,23,30,0,5,4,161,2804,
"Somers",1503,20,7,0,0,4,0,0,0,0,127,1671,
"Somerton (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,
"Somerville (Vic.)",10468,91,50,16,9,71,28,0,12,20,566,11333,
"Sorrento (Vic.)",1389,55,7,4,0,4,0,0,0,0,141,1593,
"South Dudley",416,0,0,0,3,0,7,0,6,0,30,461,
"South Geelong",841,19,14,3,29,7,17,4,3,3,60,991,
"South Kingsville",1364,109,91,116,67,47,44,0,19,10,79,1945,
"South Melbourne",7397,681,369,178,177,299,684,3,91,20,1025,10919,
"South Morang",14499,2026,1522,1147,2532,546,528,0,330,75,864,24057,
"South Purrumbete",107,0,0,0,0,0,0,0,0,0,4,115,
"South Wharf",22,7,0,0,0,8,3,0,0,0,57,104,
"South Yarra",16373,1375,646,390,603,640,2423,0,109,59,2532,25149,
"Southbank",7905,1150,294,435,952,1045,4439,0,61,53,2366,18707,
"Southern Cross (Vic.)",103,0,0,0,0,0,0,0,0,0,15,117,
"Spargo Creek",25,0,6,0,0,0,0,0,0,0,5,35,
"Speed",75,0,0,0,0,0,0,0,0,0,4,83,
"Spotswood",1923,189,110,35,59,62,61,0,4,20,151,2605,
"Spring Gully (Vic.)",2704,18,7,9,29,9,21,0,9,6,187,3001,
"Spring Hill (Vic.)",163,12,0,0,0,0,0,0,0,0,23,199,
"Springbank",96,0,0,0,0,0,0,0,0,0,13,113,
"Springdallah",23,0,0,0,0,0,0,0,0,0,0,27,
"Springfield (Buloke - Vic.)",6,0,0,0,0,0,0,0,0,0,0,6,
"Springfield (Macedon Ranges - Vic.)",149,11,0,0,0,0,0,0,0,0,24,180,
"Springhurst",328,0,0,0,0,0,0,0,0,0,21,351,
"Springmount",156,3,0,0,0,0,0,0,0,0,20,182,
"Springvale (Vic.)",3892,1181,354,318,2632,8318,3347,0,284,110,1276,21713,
"Springvale South",3006,591,235,221,839,5600,1453,0,197,63,557,12770,
"St Albans (Vic.)",8646,3127,3196,1462,3846,10829,1625,3,1576,154,2845,37312,
"St Albans Park",4416,61,36,13,17,36,24,0,15,6,220,4846,
"St Andrews (Vic.)",1096,13,0,0,0,0,3,0,0,0,105,1230,
"St Andrews Beach",814,23,0,0,0,4,0,0,0,0,39,891,
"St Arnaud",2037,5,13,0,4,15,8,0,0,0,108,2194,
"St Arnaud East",85,0,0,0,0,0,0,0,0,0,0,84,
"St Arnaud North",45,0,0,0,0,0,0,0,0,0,5,43,
"St Clair (Vic.)",46,0,0,0,0,0,0,0,0,0,4,51,
"St Germains",71,0,0,0,0,0,0,0,0,0,7,73,
"St Helena",2521,127,72,31,22,9,59,0,0,7,75,2922,
"St Helens (Vic.)",44,0,0,0,0,0,0,0,0,0,5,49,
"St Helens Plains",38,0,0,0,0,0,0,0,0,0,6,39,
"St James (Vic.)",122,0,0,0,0,0,0,0,0,0,10,131,
"St Kilda (Vic.)",13695,1271,633,220,490,271,624,7,76,61,2882,20227,
"St Kilda East",9593,641,505,470,347,138,311,0,45,39,1010,13097,
"St Kilda West",2351,171,35,17,138,37,31,0,10,5,362,3164,
"St Leonards (Vic.)",2144,138,28,0,0,6,4,0,3,4,148,2480,
"Staceys Bridge",32,3,0,0,0,0,0,0,0,0,0,35,
"Staffordshire Reef",41,0,0,0,0,0,0,0,0,0,6,48,
"Staghorn Flat",273,4,0,0,0,0,0,0,0,0,18,293,
"Stanhope (Vic.)",720,4,0,0,7,8,0,0,0,0,94,829,
"Stanley (Vic.)",307,6,0,0,0,0,0,0,0,0,46,362,
"Staughton Vale",93,0,0,0,0,0,0,0,0,0,0,94,
"Stavely",32,0,0,0,0,0,0,0,0,0,0,39,
"Stawell",5346,14,12,5,59,45,62,0,23,3,464,6033,
"Steels Creek",211,0,0,0,0,0,0,0,0,0,10,226,
"Steiglitz (Vic.)",51,0,0,0,0,0,0,0,0,0,0,55,
"Stewarton (Vic.)",100,0,0,0,0,0,0,0,0,0,11,113,
"Stirling (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,
"Stockdale",41,0,0,0,0,0,0,0,0,0,11,57,
"Stockyard Hill",47,0,0,0,0,0,0,0,0,0,0,52,
"Stonehaven",70,0,0,0,0,0,0,0,0,0,9,82,
"Stoneleigh (Vic.)",45,0,0,0,0,0,0,0,0,0,0,47,
"Stony Creek (Central Goldfields - Vic.)",7,0,0,0,0,0,0,0,0,0,0,7,
"Stony Creek (South Gippsland - Vic.)",261,3,0,0,0,0,0,0,0,0,12,279,
"Stonyford",46,0,0,0,0,0,0,0,0,0,5,50,
"Stradbroke",152,0,0,0,0,0,0,0,0,0,15,172,
"Strangways",73,0,0,0,0,0,0,0,0,0,11,89,
"Straten",3,0,0,0,0,0,0,0,0,0,0,3,
"Stratford (Vic.)",2407,13,6,4,3,11,4,0,5,3,169,2621,
"Strath Creek",142,0,0,0,0,0,0,0,0,0,21,163,
"Strathallan",128,0,0,0,0,0,0,0,0,0,11,143,
"Strathbogie",280,0,0,0,0,6,0,0,0,0,11,308,
"Strathdale",5123,26,18,19,53,39,80,0,27,6,272,5664,
"Strathdownie",157,0,0,0,0,0,0,0,0,0,24,183,
"Strathewen",162,0,0,0,0,0,0,0,0,0,10,178,
"Strathfieldsaye",5115,25,3,8,31,18,21,0,10,0,203,5425,
"Strathkellar",84,0,0,0,0,0,0,0,0,0,7,94,
"Strathlea",16,0,0,0,0,0,0,0,0,0,0,19,
"Strathmerton",952,0,11,0,0,17,0,0,0,0,73,1049,
"Strathmore (Vic.)",6581,661,156,239,165,91,159,0,0,20,346,8417,
"Strathmore Heights",773,94,14,38,20,13,7,0,14,0,42,1006,
"Streatham",145,0,0,0,0,0,0,0,0,0,18,157,
"Strzelecki (Vic.)",82,0,0,0,0,0,0,0,0,0,4,91,
"Stuart Mill",74,0,0,0,0,0,0,0,0,0,4,80,
"Sugarloaf (Vic.)",9,0,0,0,0,0,0,0,0,0,3,15,
"Sugarloaf Creek",215,3,0,0,0,10,0,0,0,0,19,247,
"Suggan Buggan",0,0,0,0,0,0,0,0,0,0,0,0,
"Sulky",224,0,0,0,0,0,0,0,0,0,8,234,
"Summerlands",0,0,0,0,0,0,0,0,0,0,0,0,
"Sunbury",31759,824,438,176,407,355,258,4,103,72,1693,36084,
"Sunday Creek",284,3,0,0,0,0,0,0,0,0,19,309,
"Sunderland Bay",210,9,0,0,0,3,0,0,0,0,13,233,
"Sunset Strip (Vic.)",357,4,0,0,0,3,0,0,0,0,60,425,
"Sunshine (Vic.)",3511,609,318,400,1078,2323,552,0,214,46,714,9772,
"Sunshine North",2644,1200,357,348,506,4921,757,0,298,40,621,11699,
"Sunshine West",5431,2416,1289,1096,1013,4549,820,0,833,80,1050,18585,
"Surf Beach (Vic.)",456,4,0,0,0,0,5,0,8,0,55,527,
"Surrey Hills",10571,498,137,67,320,217,1214,0,49,21,518,13606,
"Sutherland (Vic.)",24,0,0,0,0,0,0,0,0,0,3,24,
"Sutherlands Creek",95,0,0,0,0,0,0,0,0,0,11,114,
"Sutton (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,
"Sutton Grange",120,0,0,0,0,0,0,0,0,0,11,136,
"Swan Bay (Vic.)",51,0,0,0,0,0,0,0,0,0,8,59,
"Swan Hill",8764,214,5,194,249,172,84,0,75,17,1137,10907,
"Swan Hill West",3,0,0,0,0,0,0,0,0,0,0,3,
"Swan Island",0,0,0,0,0,0,0,0,0,0,0,0,
"Swan Marsh",105,0,0,3,0,0,0,0,0,0,6,118,
"Swan Reach (Vic.)",668,14,0,0,0,0,0,0,0,0,61,746,
"Swanpool",193,0,0,0,0,0,0,0,0,0,10,208,
"Swanwater",16,0,0,0,0,0,0,0,0,0,0,20,
"Swanwater West",17,0,0,0,0,0,0,0,0,0,0,17,
"Swifts Creek",248,0,0,0,0,0,0,0,0,0,33,279,
"Sydenham (Vic.)",5093,948,835,433,1542,774,348,0,141,44,671,10844,
"Sylvaterre",11,0,0,0,0,0,0,0,0,0,0,14,
"Tabberabbera",0,0,0,0,0,0,0,0,0,0,0,0,
"Tabilk",104,0,0,0,0,0,0,0,0,0,22,136,
"Tabor",40,0,0,0,0,0,0,0,0,0,0,40,
"Taggerty",306,0,3,0,0,0,0,0,0,0,16,331,
"Tahara",35,0,0,0,0,0,0,0,0,0,0,38,
"Tahara Bridge",17,0,0,0,0,0,0,0,0,0,0,17,
"Tahara West",22,0,0,0,0,0,0,0,0,0,0,22,
"Talbot (Vic.)",387,4,0,0,0,3,0,0,0,0,44,441,
"Talgarno",203,0,0,0,0,0,0,0,0,0,14,221,
"Tallandoon",69,0,0,0,0,0,0,0,0,0,4,75,
"Tallangatta",998,0,8,0,8,0,4,0,0,0,61,1080,
"Tallangatta East",51,0,0,0,0,0,0,0,0,0,0,51,
"Tallangatta South",137,0,0,0,0,0,0,0,0,0,0,141,
"Tallangatta Valley",183,0,0,0,0,0,0,0,0,0,19,201,
"Tallarook",642,0,10,6,0,5,5,0,0,0,67,734,
"Tallygaroopna",508,6,4,0,0,0,0,0,0,0,58,579,
"Tambo Crossing",18,0,0,0,0,0,0,0,0,0,0,18,
"Tambo Upper",296,0,0,0,0,0,0,0,0,0,25,325,
"Tamboon",6,0,0,0,0,0,0,0,0,0,10,14,
"Tamboritha",0,0,0,0,0,0,0,0,0,0,0,0,
"Taminick",94,0,0,0,0,0,0,0,0,0,8,100,
"Tamleugh",40,0,5,0,0,0,0,0,0,0,4,45,
"Tamleugh North",33,0,0,0,0,0,0,0,0,0,0,33,
"Tandarook",20,0,0,0,0,0,0,0,0,0,0,18,
"Tandarra",50,0,0,0,0,0,0,0,0,0,0,49,
"Tangambalanga",520,0,0,0,0,0,0,0,0,0,21,545,
"Tanjil",0,0,0,0,0,0,0,0,0,0,0,0,
"Tanjil Bren",4,0,0,0,0,0,0,0,0,0,5,12,
"Tanjil South",502,4,6,0,0,0,0,0,0,0,35,544,
"Tanwood",16,0,0,0,0,0,0,0,0,0,9,29,
"Tanybryn",15,0,0,0,0,0,0,0,0,0,4,16,
"Taradale (Vic.)",389,12,5,0,0,0,0,0,0,0,46,448,
"Tarcombe",28,0,0,0,0,0,0,0,0,0,4,39,
"Tarilta",23,0,0,0,0,0,0,0,0,0,0,23,
"Tarnagulla",120,0,0,0,0,0,0,0,0,0,18,136,
"Tarneit",14307,942,757,1072,10037,2088,868,0,2447,246,1786,34561,
"Tarnook",83,0,0,0,0,0,0,0,0,0,4,84,
"Taroon",12,0,0,0,0,0,0,0,0,0,7,23,
"Tarra Valley",70,0,0,0,0,0,0,0,0,0,6,77,
"Tarranyurk",25,0,0,0,0,0,0,0,0,0,4,25,
"Tarraville",72,0,0,0,0,0,0,0,0,0,9,81,
"Tarrawarra",69,0,0,0,0,0,3,0,0,0,0,71,
"Tarrawingee",336,0,3,0,0,0,0,0,0,0,31,368,
"Tarrayoukyan",22,0,0,0,0,0,0,0,0,0,0,22,
"Tarrengower",63,0,0,0,0,0,0,0,0,0,0,67,
"Tarrenlea",33,0,0,0,0,0,0,0,0,0,4,37,
"Tarrington",293,0,0,0,0,0,0,0,0,0,3,299,
"Tarrone",64,0,0,0,0,0,0,0,0,0,0,69,
"Tarwin",58,0,0,0,0,0,0,0,0,0,0,57,
"Tarwin Lower",330,0,4,0,0,0,0,0,0,3,18,358,
"Tatong",267,0,0,0,0,0,0,0,0,0,20,291,
"Tatura",3884,232,6,73,36,29,9,0,12,8,383,4669,
