Australian Bureau of Statistics

"2016 Census - Employment, Income and Education"
"SSC (UR) by HEAP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"HEAP - 1 Digit Level","Postgraduate Degree Level","Graduate Diploma and Graduate Certificate Level","Bachelor Degree Level","Advanced Diploma and Diploma Level","Certificate III & IV Level","Secondary Education - Years 10 and above","Certificate I & II Level","Secondary Education - Years 9 and below","Supplementary Codes","Not stated","Not applicable","Total",
"Tallowal",0,0,0,0,0,0,0,0,0,0,0,0,
"Tallowwood Ridge",0,0,5,5,9,5,0,3,0,4,12,52,
"Tallwood",0,0,7,7,19,10,0,7,0,5,10,73,
"Tallwoods Village",17,9,67,79,117,192,0,38,37,51,92,706,
"Talmalmo",0,0,10,3,7,13,0,4,0,5,7,56,
"Talofa",0,6,18,15,12,19,0,0,4,20,16,103,
"Taloumbi",0,0,6,9,21,25,0,7,4,8,22,107,
"Tamarama",179,28,445,120,64,264,0,33,35,222,233,1622,
"Tamban",4,0,5,4,10,21,0,7,0,24,6,92,
"Tambar Springs",0,0,19,12,18,46,0,19,7,33,29,191,
"Tambaroora",0,0,0,0,7,9,0,8,0,6,9,44,
"Taminda",0,0,0,4,12,13,0,6,3,4,6,55,
"Tamworth",3,0,12,13,32,49,0,15,8,29,24,179,
"Tanglewood",0,4,9,10,24,20,0,0,0,9,20,91,
"Tanilba Bay",34,29,132,204,580,823,4,346,92,311,604,3156,
"Tanja",8,7,37,10,30,15,0,4,6,8,17,150,
"Tannabar",0,6,4,5,13,24,0,4,4,8,9,64,
"Tannas Mount",0,0,0,0,7,10,0,0,0,5,15,46,
"Tantangara",0,0,0,0,0,0,0,0,0,0,0,0,
"Tantawangalo",0,0,21,9,24,32,0,15,4,16,33,159,
"Tantonan",0,0,5,3,0,12,0,3,0,0,3,25,
"Tapitallee",23,12,80,68,105,136,4,17,28,47,91,610,
"Tara (NSW)",0,0,3,0,7,7,0,6,0,3,8,27,
"Taradale (NSW)",6,0,6,5,6,6,0,0,0,0,9,36,
"Tarago",12,6,37,27,74,97,0,34,8,53,84,425,
"Taralga",8,5,29,23,61,107,0,54,15,81,83,465,
"Tarana",6,4,13,16,18,30,0,11,7,19,35,166,
"Tarban",0,0,0,0,0,4,0,0,0,4,0,5,
"Tarbuck Bay",0,0,17,16,40,46,0,15,4,10,37,192,
"Tarcutta",6,0,26,24,74,113,0,57,8,63,69,445,
"Taree",123,124,777,898,2437,4351,31,2108,539,1871,2927,16199,
"Taree South",0,3,16,29,64,82,0,25,8,35,43,311,
"Taren Point",48,24,224,139,196,449,0,139,68,241,208,1734,
"Tarlo",7,3,23,13,28,36,0,9,6,19,23,166,
"Tarraganda",3,0,34,21,64,100,0,19,14,32,50,335,
"Tarrawanna",70,20,206,150,340,537,4,221,75,148,307,2072,
"Tarriaro",0,3,7,7,11,26,0,14,0,12,29,118,
"Tarro",7,3,43,77,291,513,0,261,43,135,268,1643,
"Tascott",72,31,203,146,255,402,0,78,35,109,273,1603,
"Tatham",0,0,12,9,40,46,0,21,7,22,44,208,
"Tathra",57,47,234,133,235,433,0,79,42,194,221,1676,
"Tatton",88,47,336,174,368,623,0,158,57,115,650,2620,
"Taylors Arm",0,3,4,10,26,46,0,19,3,23,20,153,
"Taylors Beach (NSW)",4,0,7,17,25,25,0,11,3,8,23,122,
"Taylors Flat",0,0,4,3,8,20,0,13,3,3,0,61,
"Tea Gardens",48,38,204,268,511,809,7,311,143,306,238,2878,
"Telarah",14,15,110,109,450,621,3,301,47,201,467,2334,
"Telegraph Point",4,4,35,60,127,150,0,49,14,68,105,609,
"Telopea",388,78,883,463,471,1337,3,272,203,369,973,5432,
"Temagog",6,0,12,11,40,68,0,29,4,33,31,236,
"Temora",31,41,286,208,734,1360,4,599,115,451,862,4691,
"Tempe",218,73,593,252,312,880,4,227,123,212,663,3556,
"Ten Mile Hollow",0,0,0,0,0,0,0,0,0,0,0,0,
"Tenambit",31,23,195,206,473,772,10,321,89,211,571,2903,
"Tenandra",0,0,16,8,10,15,0,5,0,5,23,84,
"Tennyson (NSW)",5,0,34,41,73,112,0,20,7,19,65,387,
"Tennyson Point",83,14,243,86,115,241,0,66,55,91,225,1215,
"Tenterden (NSW)",0,0,0,0,4,11,0,9,0,3,3,30,
"Tenterfield",36,38,244,220,654,1063,3,437,119,593,650,4062,
"Teralba",14,15,74,110,324,405,0,164,48,206,232,1587,
"Terania Creek",3,8,29,29,20,37,0,9,6,3,37,185,
"Terara",5,4,26,17,45,58,0,22,10,31,22,229,
"Teridgerie",0,0,5,3,0,19,0,7,0,4,12,53,
"Termeil",7,0,22,14,60,67,0,19,17,17,34,256,
"Terrabella",0,0,0,0,3,7,0,0,0,0,4,20,
"Terrace Creek",0,0,5,0,4,21,0,3,0,0,12,51,
"Terragon",0,3,7,6,7,18,0,3,0,12,10,73,
"Terramungamine",5,3,29,16,52,63,0,14,7,24,68,271,
"Terranora",58,47,312,237,492,752,3,153,77,159,637,2928,
"Terreel",0,0,0,0,0,0,0,3,0,0,0,5,
"Terrey Hills",142,63,433,283,384,671,0,135,115,200,618,3035,
"Terrigal",425,210,1657,1041,1628,2806,8,541,351,686,2001,11349,
"Terry Hie Hie",0,0,6,0,5,20,0,7,5,13,12,73,
"Teven",8,6,41,22,41,68,0,11,7,31,52,290,
"Tewinga",0,0,12,7,13,27,0,3,0,12,14,89,
"Texas (NSW)",0,0,0,4,6,16,0,5,0,4,10,41,
"Thalgarrah",7,3,27,18,28,27,0,13,5,11,31,178,
"Tharbogang",4,3,24,27,51,136,0,56,12,97,112,507,
"The Angle",4,12,11,7,14,13,0,3,0,9,17,90,
"The Bight",0,0,5,7,12,19,0,6,0,3,13,67,
"The Branch",0,4,13,7,14,15,0,11,4,7,13,83,
"The Brothers",0,0,0,3,0,10,0,4,0,7,4,37,
"The Channon",8,12,59,39,60,75,0,16,10,23,67,376,
"The Devils Wilderness",0,0,0,0,0,0,0,0,0,0,0,0,
"The Entrance",48,42,242,234,578,1172,4,410,134,570,573,4004,
"The Entrance North",21,8,116,122,293,394,0,130,30,137,222,1472,
"The Freshwater",0,0,0,0,0,4,0,3,0,0,0,8,
"The Gap (Richmond Valley - NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"The Gap (Wagga Wagga - NSW)",0,0,6,7,9,12,0,3,0,9,9,63,
"The Glen (NSW)",0,0,0,0,0,3,0,0,0,0,4,5,
"The Gulf",0,0,0,0,0,0,0,0,0,0,0,0,
"The Hatch",0,0,0,0,11,14,0,6,0,3,3,40,
"The Hill",210,48,517,127,213,407,0,38,53,123,199,1943,
"The Junction",68,30,218,94,119,238,0,54,25,66,145,1053,
"The Lagoon",16,3,12,18,34,43,0,20,0,23,47,214,
"The Marra",0,0,7,10,9,19,0,0,3,3,14,59,
"The Meadows",0,0,0,0,0,5,0,0,0,0,0,9,
"The Oaks",45,27,167,168,464,658,0,187,63,180,563,2524,
"The Pilliga",0,0,0,0,0,0,0,0,0,0,0,0,
"The Pinnacles",3,0,5,3,18,23,0,6,4,8,8,84,
"The Pocket",10,0,32,23,37,60,0,10,12,35,61,277,
"The Ponds",1017,176,2191,914,899,2093,5,328,238,443,3439,11732,
"The Ridgeway",18,6,33,14,15,41,0,9,3,7,22,159,
"The Risk",0,4,5,7,9,13,0,11,0,6,16,61,
"The Rock",15,18,80,69,212,308,3,116,27,150,237,1236,
"The Rocks (Bathurst Regional - NSW)",0,0,3,4,12,17,0,7,0,9,15,67,
"The Rocks (Sydney - NSW)",75,10,194,49,23,110,0,10,10,242,44,775,
"The Sandon",0,0,0,0,0,0,0,0,0,0,0,4,
"The Slopes",5,5,34,35,54,83,0,17,14,33,52,332,
"The Whiteman",7,0,8,5,25,37,0,18,3,4,32,137,
"Theresa Creek (NSW)",0,0,5,4,7,15,0,8,0,17,9,70,
"Theresa Park",15,7,45,49,103,119,0,35,23,45,90,535,
"Thirldene",0,0,0,0,0,0,0,0,0,3,0,5,
"Thirlmere",82,34,251,260,719,997,7,286,127,475,807,4043,
"Thirroul",451,164,978,502,794,1162,5,286,148,353,1245,6084,
"Thora",3,6,37,27,46,76,0,24,11,37,67,328,
"Thornleigh",727,205,1716,669,620,1724,0,289,305,413,1806,8467,
"Thornton (NSW)",99,78,495,572,1598,2198,3,665,192,306,1848,8062,
"Thrumster",11,0,38,50,67,86,0,15,8,20,115,419,
"Thuddungra",0,0,11,6,21,30,0,12,5,14,13,117,
"Thule",0,0,5,6,0,4,0,3,0,0,8,35,
"Thumb Creek",0,0,0,0,4,13,0,0,0,7,0,22,
"Thurgoona",164,148,830,645,1541,2114,3,483,189,470,2065,8658,
"Thyra",0,0,5,4,0,0,0,0,0,4,0,9,
"Tianjara",0,0,0,0,0,0,0,0,0,0,0,0,
"Tibbuc",0,0,4,5,3,4,0,5,0,3,4,24,
"Tibooburra",0,0,11,7,21,35,0,21,3,16,27,137,
"Tichborne",0,0,4,0,13,14,0,0,0,24,12,79,
"Tichular",0,0,0,0,0,0,0,0,0,0,0,5,
"Tighes Hill",80,35,276,113,210,354,0,108,51,138,314,1683,
"Tilba Tilba",5,0,8,3,16,31,0,8,0,9,10,94,
"Tilbuster",3,0,6,7,14,3,0,5,0,7,12,58,
"Tilligerry Creek",0,0,0,0,0,0,0,0,0,0,0,0,
"Tilpa",0,0,0,0,8,15,0,3,4,11,3,44,
"Timbarra (NSW)",0,0,4,0,4,3,0,3,0,0,7,29,
"Timbillica",0,0,0,0,3,3,0,0,0,0,0,7,
"Timbumburi",0,0,20,16,25,34,0,9,3,10,25,140,
"Timor (NSW)",3,0,8,5,8,7,0,0,0,13,18,55,
"Tindarey",0,0,3,0,3,10,0,9,0,8,9,35,
"Tinderry",3,5,9,0,10,8,0,3,4,15,13,66,
"Tingha",3,0,12,32,97,231,0,157,10,134,161,834,
"Tingira Heights",33,38,163,134,386,554,5,162,47,156,470,2148,
"Tinonee",13,13,73,76,195,276,0,91,43,116,190,1090,
"Tinpot",0,0,0,0,0,0,0,0,0,3,0,3,
"Tintenbar",27,23,96,69,106,170,0,38,35,93,165,826,
"Tintinhull",5,3,33,19,82,94,0,41,15,24,89,395,
"Tiona",0,0,0,0,0,0,0,0,0,0,0,4,
"Tipperary (NSW)",0,0,0,4,8,7,0,4,3,5,5,33,
"Tiri",0,0,0,0,0,0,0,0,0,0,0,3,
"Tirrannaville",6,3,26,14,40,57,0,12,3,30,39,235,
"Titaatee Creek",5,0,6,0,0,5,0,0,0,0,0,14,
"Tocal (NSW)",0,0,0,4,8,27,0,3,0,3,0,49,
"Tocumwal",18,27,141,155,480,707,0,327,58,337,438,2684,
"Tolland",44,22,220,180,498,914,5,355,111,294,714,3359,
"Tolwong",0,0,0,0,0,0,0,0,0,0,0,0,
"Tomago",4,4,10,9,62,82,0,40,10,58,17,282,
"Tomakin",14,16,71,72,184,233,0,94,26,159,128,1003,
"Tomalla",0,0,5,0,0,7,0,0,0,0,3,18,
"Tombong",0,0,5,0,8,5,0,5,0,0,0,14,
"Tomboye",0,0,4,0,5,3,0,0,4,14,5,40,
"Tomerong",19,20,104,74,240,209,0,75,30,88,214,1072,
"Tomewin",3,0,24,9,21,16,0,3,0,11,20,106,
"Tomingley",4,5,21,17,47,71,0,30,7,46,56,303,
"Tomki",0,0,0,9,15,9,0,13,5,12,21,76,
"Toms Creek",0,0,0,3,4,10,0,12,0,5,8,42,
"Tonderburine",0,0,6,3,6,21,0,0,0,5,13,56,
"Tongarra",0,0,9,8,28,29,0,3,9,7,13,109,
"Toogong",0,4,4,3,12,23,0,11,0,16,14,82,
"Tooleybuc",0,0,13,15,40,77,0,36,5,53,46,276,
"Toolijooa",10,4,16,12,14,27,0,4,8,20,19,128,
"Tooloom",0,0,3,0,7,10,0,0,0,0,3,23,
"Tooloon",0,3,5,0,11,7,0,0,0,12,12,49,
"Tooma",0,4,14,10,10,26,0,0,7,16,19,105,
"Toongabbie (NSW)",999,184,2070,1037,1401,3514,10,884,452,885,2913,14333,
"Toongi",0,0,11,4,12,9,0,6,0,0,8,60,
"Toonumbar",0,0,5,0,7,9,0,0,0,5,5,39,
"Tooranie",0,0,0,0,0,4,0,0,0,0,0,7,
"Tooraweenah",0,0,18,14,26,62,0,37,4,26,35,233,
"Toormina",55,65,376,350,1022,1647,19,681,201,614,1160,6194,
"Toorooka",0,0,3,4,7,15,0,13,3,6,0,51,
"Toothdale",5,5,11,12,30,39,0,14,4,22,30,173,
"Tootool",0,0,5,5,11,19,0,4,0,12,19,72,
"Toowoon Bay",14,0,50,46,82,126,0,51,16,75,67,526,
"Topi Topi",0,0,5,4,4,14,0,4,0,0,9,51,
"Toronto",111,45,412,321,879,1486,8,652,165,657,864,5599,
"Torrington (NSW)",0,3,0,10,9,22,0,11,0,16,11,81,
"Torryburn (Dungog - NSW)",3,5,12,11,27,36,0,15,3,8,24,145,
"Torryburn (Uralla - NSW)",0,0,0,3,0,16,0,0,0,4,9,42,
"Totnes Valley",0,0,5,0,9,10,0,3,0,8,0,31,
"Tottenham (NSW)",3,4,15,18,49,132,0,51,13,87,72,453,
"Touga",0,0,0,0,0,0,0,0,0,0,0,0,
"Toukley",38,21,205,267,780,1185,4,458,124,794,677,4549,
"Towallum",0,0,0,0,0,0,0,0,0,0,0,0,
"Towamba",0,3,16,11,37,62,0,25,10,19,38,228,
"Townsend",5,7,25,49,165,242,6,76,37,91,179,884,
"Towradgi",91,39,329,255,520,714,0,311,107,201,553,3126,
"Towrang",0,3,10,12,30,45,0,11,11,22,32,177,
"Tralee",0,0,0,0,0,3,0,0,0,0,0,7,
"Trangie",11,10,62,51,157,365,3,141,23,161,211,1191,
"Tregeagle",17,10,63,43,67,103,0,34,12,34,78,458,
"Tregear",22,9,69,115,333,1188,7,472,90,537,1030,3883,
"Trenayr",0,0,5,0,20,21,0,8,5,15,8,84,
"Trentham Cliffs",0,0,7,10,14,13,0,0,4,13,7,66,
"Trewilga",0,0,0,0,9,13,0,7,0,12,0,38,
"Triamble",0,0,0,0,5,9,0,0,0,0,6,21,
"Triangle Flat",0,0,5,3,13,18,0,7,0,6,7,59,
"Trundle",12,4,35,34,86,187,0,80,24,96,123,687,
"Trungley Hall",0,0,13,3,14,17,0,10,0,6,18,78,
"Trunkey Creek",0,3,9,8,20,28,0,10,5,26,20,118,
"Tubbamurra",0,0,0,0,0,7,0,5,0,0,3,17,
"Tubbul",0,0,9,0,11,13,0,16,0,13,15,79,
"Tucabia",6,4,18,15,60,126,0,51,7,39,42,367,
"Tucki Tucki",0,3,10,11,34,45,0,10,4,22,34,171,
"Tuckombil",6,0,41,25,41,51,0,10,12,9,62,259,
"Tuckurimba",0,0,8,8,24,16,0,3,3,9,30,104,
"Tuena",3,0,5,4,4,16,0,5,0,19,0,63,
"Tuggerah",16,8,72,75,156,272,0,55,29,51,182,925,
"Tuggerawong",17,17,64,88,256,350,0,112,37,100,239,1274,
"Tugrabakh",3,0,8,5,8,13,0,8,0,10,18,82,
"Tullakool",0,0,3,11,13,19,0,4,3,9,12,72,
"Tullamore",0,5,35,25,57,107,0,50,9,70,67,423,
"Tullarwalla",0,0,0,0,0,0,0,0,0,0,0,0,
"Tullera",14,6,27,18,49,72,0,24,8,12,49,282,
"Tullibigeal",0,4,9,11,30,67,0,22,5,35,48,234,
"Tullimbar",14,8,38,51,114,91,0,34,25,29,127,535,
"Tulloona",0,0,4,3,3,16,0,0,0,8,8,52,
"Tullymorgan",0,0,9,14,27,25,0,15,0,15,21,134,
"Tumbarumba",14,25,84,91,296,539,0,223,34,230,328,1859,
"Tumbi Umbi",76,47,417,392,927,1361,0,372,157,399,965,5111,
"Tumblong",0,0,15,7,19,69,0,21,4,29,46,201,
"Tumbulgum",6,0,29,31,78,98,0,25,19,39,78,408,
"Tumorrama",0,0,0,0,4,14,0,0,0,4,9,35,
"Tumut",49,42,385,338,927,1612,5,684,139,860,1190,6231,
"Tumut Plains",0,0,5,3,4,16,0,0,5,0,18,62,
"Tuncester",0,0,9,6,13,12,0,3,5,14,8,73,
"Tuncurry",34,40,254,368,1121,1717,4,905,195,922,619,6182,
"Tunglebung",0,3,0,5,0,13,0,6,0,0,0,30,
"Tuntable Creek",8,6,26,28,29,30,0,11,0,12,37,192,
"Tuppal",0,0,0,0,0,11,0,0,0,0,0,10,
"Tura Beach",66,64,322,267,519,858,3,224,105,301,423,3162,
"Turill",0,0,8,0,15,26,0,15,0,21,11,100,
"Turlinjah",5,0,16,10,36,46,0,10,0,14,21,158,
"Turners Flat",0,0,9,17,26,43,0,10,5,19,29,149,
"Turondale",0,0,5,8,20,26,0,9,0,10,17,82,
"Tuross",0,0,4,3,0,0,0,0,0,7,0,14,
"Tuross Head",51,53,193,215,426,591,5,178,97,214,219,2242,
"Turramurra",1314,327,2959,964,479,2294,0,337,343,475,2415,11922,
"Turrawan",0,0,5,6,17,22,0,5,4,6,9,67,
"Turrella",184,30,440,207,186,646,0,140,87,149,438,2512,
"Turvey Park",108,89,458,195,542,723,5,238,70,202,706,3331,
"Tweed Heads",173,99,673,618,1243,2430,3,660,244,1193,846,8179,
"Tweed Heads South",60,50,397,480,1254,2304,10,885,252,891,1039,7615,
"Tweed Heads West",62,41,316,375,1080,1842,11,582,198,836,858,6200,
"Twelve Mile",0,0,0,0,9,9,0,0,0,6,7,27,
"Twelve Mile Creek",0,0,6,3,33,40,0,28,3,40,16,163,
"Twelve Mile Peg",0,0,0,0,0,0,0,0,0,0,0,0,
"Twenty Forests",0,0,0,0,0,0,0,0,0,0,0,0,
"Twin Rivers",0,0,6,3,8,9,0,4,0,3,4,35,
"Two Mile Flat",3,0,9,3,21,18,0,3,3,16,17,96,
"Tyagarah",4,9,28,12,14,31,0,9,3,17,14,149,
"Tyalgum",8,12,33,39,69,155,4,35,20,62,119,546,
"Tyalgum Creek",3,0,16,5,10,23,0,3,5,25,18,109,
"Tygalgah",0,3,9,6,15,25,0,12,3,13,30,126,
"Tyndale",0,0,9,8,28,45,0,27,6,25,26,171,
"Tyringham",0,3,7,8,14,26,0,5,5,9,27,100,
"Uarbry",0,0,4,0,3,5,0,5,0,15,10,44,
"Uki",18,7,81,63,90,160,0,45,12,99,112,695,
"Ulamambri",3,4,15,15,19,56,0,19,6,35,32,210,
"Ulan",0,0,0,4,9,20,0,0,0,20,3,57,
"Ulladulla",58,64,320,376,1168,1871,9,758,236,704,1048,6615,
"Ulmarra",4,6,26,50,134,207,4,109,17,97,126,784,
"Ulong",3,4,10,8,34,53,0,24,10,40,52,237,
"Ultimo",903,95,2537,622,275,2496,0,200,209,1130,375,8846,
"Umina Beach",330,149,1157,1234,2819,4476,20,1457,501,1583,2997,16735,
"Unanderra",80,47,315,295,816,1346,6,644,206,743,938,5431,
"Underbank",0,0,5,0,8,14,0,0,0,0,6,32,
"Undercliffe",0,0,0,4,0,5,0,0,0,0,0,11,
"Ungarie",6,0,28,20,68,164,0,56,21,76,125,559,
"Unumgar",0,0,0,0,0,6,0,5,0,3,0,26,
"Upper Allyn",0,0,0,0,0,3,0,0,3,0,5,10,
"Upper Bingara",0,0,3,0,0,11,0,0,0,5,8,33,
"Upper Burringbar",3,3,26,26,46,79,0,7,7,36,46,276,
"Upper Bylong",0,0,0,0,0,0,0,0,0,0,0,8,
"Upper Colo",0,0,13,3,9,18,0,0,0,6,12,58,
"Upper Coopers Creek",3,0,8,7,10,13,0,0,0,9,16,63,
"Upper Copmanhurst",0,0,3,7,8,37,0,6,0,8,8,86,
"Upper Corindi",0,0,6,15,28,41,0,15,4,24,22,155,
"Upper Crystal Creek",3,4,15,13,45,47,0,16,6,7,34,187,
"Upper Dartbrook",0,0,13,9,29,32,0,11,9,19,32,146,
"Upper Duck Creek",0,0,0,3,0,0,0,0,0,0,0,7,
"Upper Duroby",0,0,14,10,8,24,0,6,7,10,19,100,
"Upper Eden Creek",0,0,7,4,8,13,0,0,0,5,3,45,
"Upper Fine Flower",0,0,0,0,0,13,0,6,0,6,3,30,
"Upper Growee",0,0,0,0,0,0,0,4,0,0,0,11,
"Upper Horseshoe Creek",0,3,10,9,17,32,0,6,0,13,30,122,
"Upper Horton",0,0,6,6,18,47,0,17,5,23,49,170,
"Upper Kangaroo River",13,5,21,10,8,15,0,3,0,13,23,117,
"Upper Kangaroo Valley",0,0,0,0,0,0,0,0,0,0,0,0,
"Upper Karuah River",0,0,0,3,0,0,0,0,0,0,0,3,
"Upper Lansdowne",0,9,38,53,119,119,0,52,16,58,93,567,
"Upper Macdonald",3,0,3,6,5,4,0,0,0,3,4,28,
"Upper Main Arm",7,0,28,13,37,48,0,3,5,50,19,222,
"Upper Mangrove",0,0,0,0,0,0,0,0,0,0,0,0,
"Upper Manilla",5,0,9,12,22,30,0,16,5,21,17,122,
"Upper Mongogarie",0,0,3,0,7,0,0,0,0,4,4,21,
"Upper Myall",0,0,0,4,5,8,0,8,0,0,0,24,
"Upper Nile",0,0,0,0,0,4,0,0,0,0,3,8,
"Upper Orara",27,16,70,68,151,171,0,34,25,91,155,817,
"Upper Pappinbarra",0,0,4,5,6,9,0,7,0,13,16,61,
"Upper Rollands Plains",0,0,11,11,22,28,0,21,3,8,43,147,
"Upper Rouchel",0,0,6,4,10,15,0,6,7,12,7,68,
"Upper Taylors Arm",0,3,9,3,20,35,0,10,3,14,24,125,
"Upper Tooloom",0,0,3,0,0,10,0,4,3,5,14,46,
"Upper Turon",0,0,0,0,0,0,0,0,0,3,0,12,
"Upper Wilsons Creek",0,0,10,10,9,9,0,0,0,14,16,71,
"Upsalls Creek",0,3,7,7,22,15,0,10,3,13,28,118,
"Uralba",11,6,32,19,39,44,0,15,5,26,32,216,
"Uralla (NSW)",58,36,197,180,444,692,0,265,75,294,500,2746,
"Urana",3,0,13,17,40,115,0,47,12,82,64,389,
"Urangeline",0,0,0,0,0,4,0,0,0,3,11,18,
"Urangeline East",0,0,0,0,7,4,0,0,4,0,4,20,
"Uranquinty",11,9,66,45,191,214,0,60,27,77,212,910,
"Urawilkie",0,0,0,0,3,11,0,0,0,0,0,15,
"Urbenville",0,0,16,13,36,83,0,39,4,78,44,319,
"Uriarra",0,0,5,0,6,9,0,0,0,0,9,30,
"Urila",3,6,14,8,19,31,0,5,3,28,29,138,
"Urliup",0,5,21,12,44,44,0,13,6,21,22,188,
"Urunga",39,41,233,202,532,768,3,322,85,380,393,3001,
"Utungun",0,3,6,6,43,31,0,23,5,8,35,170,
"Vacy",8,6,50,55,142,129,0,42,14,46,142,632,
"Vale Of Clwydd",8,0,24,32,72,131,0,44,19,59,94,482,
"Valentine",219,91,761,531,893,1254,0,325,192,244,1010,5513,
"Valery",0,3,15,11,22,42,0,3,3,9,35,140,
"Valla",12,12,86,76,178,213,0,50,30,100,175,937,
"Valla Beach",39,22,182,105,202,311,0,94,55,99,213,1311,
"Valley Heights",61,31,155,122,156,271,0,63,43,63,250,1213,
"Varroville",5,0,15,4,16,30,0,8,9,18,20,113,
"Vaucluse",780,167,2212,677,413,1912,0,266,264,635,2013,9333,
"Verges Creek",0,0,12,11,50,51,0,25,5,34,41,231,
"Verona",7,7,34,21,48,69,0,15,9,31,48,288,
"Villawood",74,22,310,268,413,1700,3,665,336,1022,1210,6033,
"Vincentia",169,78,396,295,558,693,7,204,102,314,488,3291,
"Vineyard",23,12,61,63,186,307,0,117,32,160,199,1163,
"Violet Hill",0,0,0,0,0,0,0,0,0,0,0,0,
"Vittoria (NSW)",0,0,7,9,3,21,0,3,6,6,3,61,
"Voyager Point",103,22,283,139,191,363,0,64,57,70,374,1666,
"Wadalba",49,20,184,191,469,721,11,221,82,142,744,2832,
"Wadbilliga",0,0,0,0,0,0,0,0,0,0,0,0,
"Wadeville",4,0,27,13,21,39,0,8,5,20,22,170,
"Wagga Wagga",323,117,1066,453,1037,1789,6,493,195,703,912,7102,
"Wagstaffe",27,4,50,15,30,38,0,10,8,11,39,224,
"Wahroonga",1699,427,4005,1407,812,3380,3,592,528,1089,3429,17364,
"Waitara",800,139,1496,437,282,919,0,150,165,380,1183,5939,
"Waitui",5,3,7,5,16,14,0,10,3,21,18,109,
"Wakefield",0,3,6,6,31,28,0,21,0,10,29,140,
"Wakeley",69,22,398,319,431,1482,3,513,355,267,889,4745,
"Wakool",0,0,12,21,45,78,0,50,7,36,47,301,
"Walang",0,0,11,7,20,12,0,3,0,18,18,86,
"Walbundrie",0,3,9,7,23,45,0,11,8,21,32,150,
"Walcha",26,22,179,158,366,655,0,257,77,357,451,2549,
"Walcha Road",0,0,5,5,9,13,0,5,3,7,8,54,
"Waldegrave",3,0,0,0,8,7,0,0,0,0,7,27,
"Walgett",18,13,130,87,184,573,3,233,50,316,537,2148,
"Walla Walla",12,12,41,38,122,234,4,97,26,79,175,834,
"Wallabadah",0,0,18,38,69,116,0,48,16,47,66,420,
"Wallabi Point",12,13,80,69,133,151,0,29,16,26,166,697,
"Wallacetown",0,0,0,0,0,0,0,0,0,0,0,3,
"Wallacia",23,7,101,90,314,455,3,123,51,139,318,1627,
"Wallaga Lake",16,16,50,48,97,131,0,40,27,79,46,548,
"Wallagoot",12,5,68,32,93,95,0,34,11,64,98,521,
"Wallalong",22,14,77,85,193,237,0,66,24,66,248,1030,
"Wallamore",0,0,11,9,19,21,0,11,7,8,31,119,
"Wallanbah",3,0,12,3,9,29,0,13,0,5,12,80,
"Wallangra",0,0,7,3,11,24,0,12,3,17,26,100,
"Wallanthery",0,0,0,6,4,14,0,0,0,5,8,33,
"Wallarah",4,0,17,22,60,93,0,35,10,45,82,364,
"Wallaringa",0,0,0,0,0,4,0,8,0,0,3,17,
"Wallarobba",5,0,11,16,37,36,0,17,9,18,31,173,
"Wallaroo (NSW)",39,17,102,48,101,159,0,21,21,85,118,710,
"Wallendbeen",3,3,24,28,34,70,0,36,8,16,40,259,
"Wallerawang",8,9,72,91,360,473,0,221,43,256,436,1978,
"Walleroobie",0,0,4,0,13,13,0,7,3,11,18,71,
"Wallingat",0,0,0,0,0,0,0,0,0,0,0,0,
"Wallis Lake",0,0,0,0,0,0,0,0,0,0,0,0,
"Wallsend",333,109,1118,853,1993,3277,12,1318,351,1079,2026,12468,
"Walmer (NSW)",5,0,5,4,7,10,0,5,0,4,5,38,
"Wamban",0,0,9,10,27,16,0,8,7,6,5,90,
"Wambangalang",0,0,12,9,12,22,0,3,3,15,17,87,
"Wamberal",208,131,918,609,960,1426,0,275,200,357,1469,6551,
"Wamboin",125,64,298,141,172,323,0,51,37,157,332,1710,
"Wambool",0,0,6,0,5,0,0,7,0,6,4,37,
"Wambrook",0,0,7,0,5,10,0,0,0,13,10,46,
"Wanaaring",0,0,3,8,8,29,0,10,0,40,41,143,
"Wandandian",7,3,15,20,71,83,0,19,12,31,59,325,
"Wandella (NSW)",4,5,20,12,21,34,0,15,3,11,14,140,
"Wandera",0,0,0,5,0,7,0,6,0,4,3,22,
"Wandook",0,0,3,3,4,12,0,0,0,10,14,44,
"Wandsworth",0,0,10,7,9,29,0,9,3,12,14,96,
"Wang Wauk",0,0,3,12,18,17,0,7,0,20,9,88,
"Wanganella",3,0,5,7,7,21,0,11,0,16,15,80,
"Wanganui",3,0,0,4,9,7,0,0,0,3,12,49,
"Wangi Wangi",80,49,247,276,528,648,4,249,82,207,396,2757,
"Wantabadgery",0,3,13,12,28,40,0,11,5,27,37,187,
"Wantagong",3,0,4,3,6,16,0,0,0,10,10,57,
"Wantiool",0,0,3,3,3,8,0,3,4,3,12,42,
"Wapengo",3,0,12,9,13,21,0,0,0,3,9,73,
"Warabrook",94,21,229,162,267,510,0,160,57,221,246,1973,
"Waratah (NSW)",148,67,541,297,650,1081,7,295,113,676,609,4491,
"Waratah West",88,41,344,192,446,865,0,232,83,278,427,2991,
