Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SSC (UR) by RELP - 1 Digit Level"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"RELP - 1 Digit Level","Buddhism","Christianity","Hinduism","Islam","Judaism","Other Religions","Secular Beliefs and Other Spiritual Beliefs and No Religious Affiliation","Inadequately described","Not stated","Total",
"Barwang",0,68,0,0,0,0,3,0,3,83,
"Barwon",0,27,0,0,0,0,5,0,0,31,
"Baryulgil",0,15,0,0,0,4,55,0,18,92,
"Basin View",5,836,0,7,0,0,537,4,165,1552,
"Bass Hill",551,4414,36,2512,0,48,841,23,646,9067,
"Bassendean (NSW)",0,0,0,0,0,0,0,0,0,0,
"Batar Creek",0,32,0,0,0,0,28,0,14,81,
"Bateau Bay",69,7890,13,10,6,23,3213,28,885,12149,
"Batehaven",19,1122,8,0,0,15,472,0,145,1780,
"Batemans Bay",11,882,6,10,0,5,412,12,201,1530,
"Bathampton",6,32,0,0,0,0,3,0,0,37,
"Bathurst",102,3907,95,53,4,51,1935,59,722,6930,
"Batlow",19,768,5,8,0,14,361,3,145,1312,
"Baulkham Hills",1195,21301,2111,942,38,489,8895,90,1990,37053,
"Baw Baw (NSW)",0,187,0,0,0,0,48,0,30,258,
"Bawley Point",11,340,0,0,0,3,282,4,62,700,
"Baxters Ridge",0,0,0,0,0,0,0,0,0,0,
"Bayview (NSW)",21,2120,0,8,14,11,1142,3,308,3620,
"Beacon Hill",165,4475,34,47,19,43,2158,43,488,7456,
"Beaconsfield (NSW)",40,414,14,18,11,8,393,10,82,991,
"Bean Creek",0,46,0,0,0,0,10,0,19,79,
"Bearbong",0,50,0,0,0,0,7,0,4,59,
"Beaumont (NSW)",0,50,0,0,0,0,47,0,29,127,
"Beaumont Hills",198,5732,482,428,7,200,1505,10,482,9038,
"Beckom",8,88,0,0,0,0,11,0,23,129,
"Bective",0,158,0,0,0,0,28,0,26,210,
"Bectric",0,27,0,0,0,0,17,0,8,57,
"Bedgerabong",0,115,0,0,0,0,17,0,16,149,
"Beechwood",3,383,0,0,0,0,186,0,43,611,
"Beecroft",285,5299,355,78,12,84,2702,12,576,9395,
"Beecroft Peninsula",0,0,0,0,0,0,0,0,0,0,
"Beelbangera",0,289,0,0,0,4,79,0,42,406,
"Beemunnel",0,11,0,0,0,0,0,0,5,10,
"Bega",40,2598,17,3,0,14,1524,17,445,4666,
"Beggan Beggan",0,79,0,0,0,0,5,0,8,99,
"Belanglo",0,13,0,0,0,0,6,0,5,21,
"Belbora",0,68,0,0,0,0,24,5,28,121,
"Belfield",261,4238,107,356,3,16,938,13,395,6317,
"Belford",0,108,0,0,0,0,35,0,26,171,
"Belfrayden",0,12,0,0,0,0,11,0,5,30,
"Belgravia",0,90,0,0,0,0,25,0,9,118,
"Belimbla Park",6,436,0,0,0,0,107,0,31,583,
"Bell (NSW)",0,28,0,0,0,11,0,0,0,47,
"Bella Vista",343,4129,985,297,0,247,1426,19,400,7834,
"Bellambi",51,2217,15,43,0,23,1253,18,328,3948,
"Bellangry",0,54,0,0,0,6,26,0,15,94,
"Bellata",0,241,0,0,0,0,67,0,37,348,
"Bellawongarah",0,50,0,0,0,0,55,0,19,124,
"Bellbird",8,1321,10,0,0,7,513,3,172,2031,
"Bellbird Heights",5,537,5,0,0,0,189,0,55,788,
"Bellbrook",0,183,0,0,0,6,72,0,19,280,
"Bellevue Hill",114,3818,50,26,2300,32,3076,52,1254,10719,
"Bellimbopinni",3,68,0,0,0,0,29,0,20,118,
"Bellingen",72,1430,8,16,23,47,1770,34,376,3776,
"Bellmount Forest",0,70,0,0,0,0,48,0,6,117,
"Belltrees",0,18,0,0,0,0,8,0,4,29,
"Belmont (NSW)",44,4438,28,19,0,23,1971,23,566,7114,
"Belmont North",46,4077,9,4,0,20,1822,26,331,6336,
"Belmont South",7,651,0,0,0,5,308,0,77,1052,
"Belmore",693,6924,387,1638,10,121,1853,28,1061,12713,
"Belmore River",3,179,0,0,0,0,55,9,26,269,
"Beloka",0,12,0,0,0,0,8,0,0,18,
"Belowra",0,8,0,0,0,0,0,0,0,8,
"Belrose",76,5524,62,23,36,37,2334,24,656,8775,
"Bemboka",7,284,0,0,0,4,220,12,50,571,
"Ben Bullen",0,57,0,0,0,0,19,0,24,103,
"Ben Lomond (NSW)",0,102,0,0,0,0,24,0,14,147,
"Benandarah",5,89,0,0,0,0,29,0,42,168,
"Bendalong",0,55,0,0,0,0,28,0,9,90,
"Bendemeer",0,299,0,0,0,0,123,0,64,495,
"Bendick Murrell",0,110,0,0,0,0,24,0,19,159,
"Bendolba",0,135,0,0,0,0,55,0,18,205,
"Bendoura",0,19,0,0,0,0,33,0,8,66,
"Benerembah",0,78,0,0,0,0,28,0,30,134,
"Bengalla",0,13,0,0,0,0,8,0,6,25,
"Bennetts Green",0,5,0,0,0,0,4,0,0,10,
"Benolong",0,41,0,0,0,0,7,0,5,48,
"Bensville",19,1681,0,8,0,8,670,11,137,2544,
"Bentley (NSW)",0,126,0,0,0,0,35,0,43,202,
"Berala",1218,3098,377,1536,0,77,2117,16,601,9050,
"Berambing",4,42,0,0,0,0,45,3,7,104,
"Beresfield",30,2058,8,7,0,14,813,14,226,3182,
"Bergalia",0,77,0,0,0,4,75,3,16,169,
"Berkeley",130,4690,9,341,0,20,1796,41,585,7608,
"Berkeley Vale",49,5227,19,10,5,25,2447,27,543,8353,
"Berkshire Park",7,837,3,16,0,8,169,0,1095,2138,
"Berlang",0,0,0,0,0,0,0,0,0,0,
"Bermagui",21,788,0,0,4,8,544,12,151,1536,
"Berowra",68,2751,54,71,27,16,1447,18,262,4722,
"Berowra Creek",0,7,0,0,0,0,9,0,0,16,
"Berowra Heights",65,2964,6,10,11,17,1866,31,296,5262,
"Berowra Waters",0,29,0,0,0,0,28,0,64,120,
"Berrambool",3,244,0,0,0,0,162,4,41,458,
"Berrara",0,177,0,0,0,0,91,0,23,300,
"Berremangra",0,46,0,0,0,0,29,0,11,84,
"Berrico",0,12,0,0,0,0,12,0,9,33,
"Berridale",10,660,0,0,6,6,414,7,93,1193,
"Berrigal",0,20,0,0,0,0,0,0,12,33,
"Berrigan",3,842,0,0,0,9,249,0,158,1263,
"Berrilee",8,133,0,0,0,3,70,0,11,227,
"Berrima",8,360,0,0,4,3,205,5,87,672,
"Berringer Lake",0,15,0,0,0,0,5,0,3,28,
"Berry",14,1624,0,0,9,8,749,5,253,2666,
"Berry Jerry",0,58,0,0,0,0,4,0,14,77,
"Berry Mountain",0,7,0,0,0,0,6,0,4,23,
"Berry Park",0,89,0,0,0,0,24,0,19,127,
"Berthong",0,37,0,0,0,0,5,0,8,45,
"Beryl",0,68,0,0,0,0,43,0,22,130,
"Bethungra",0,109,0,0,0,0,35,0,17,162,
"Bevendale",0,30,0,10,0,0,3,0,3,43,
"Beverley Park",48,1637,32,97,0,13,368,0,197,2397,
"Beverly Hills",634,5527,134,539,10,46,2490,31,748,10154,
"Bewong",0,42,0,0,0,0,26,0,10,78,
"Bexhill",4,288,0,0,0,6,173,0,21,497,
"Bexley",525,10400,507,2534,19,61,3350,63,2259,19729,
"Bexley North",169,2552,43,189,7,12,758,9,340,4093,
"Biala",0,40,0,7,0,0,7,0,5,57,
"Bibbenluke",0,63,0,0,0,0,16,0,9,86,
"Biddon",0,71,0,0,0,0,22,0,6,97,
"Bidgeemia",0,30,0,0,0,0,0,0,0,30,
"Bidwill (NSW)",40,2380,28,159,0,16,1057,21,577,4280,
"Bielsdown Hills",0,57,0,0,0,0,36,0,6,104,
"Big Hill (NSW)",0,31,0,0,0,0,12,0,0,48,
"Big Jacks Creek",0,36,0,0,0,0,5,3,11,53,
"Big Ridge",0,15,0,0,0,0,0,0,0,11,
"Big Springs",0,90,0,0,0,5,14,0,12,119,
"Bigga",0,144,0,0,0,0,36,0,58,243,
"Bilambil",4,236,5,0,0,0,125,6,37,418,
"Bilambil Heights",39,1848,8,4,5,15,1125,18,311,3365,
"Bilbul",0,419,0,0,0,11,73,0,54,556,
"Bilgola Beach",4,117,0,3,0,0,105,0,11,244,
"Bilgola Plateau",19,1841,4,0,14,9,1421,8,191,3516,
"Billeroy",0,26,0,0,0,0,9,0,0,42,
"Billilingra",0,4,0,0,0,0,3,0,0,9,
"Billimari",0,98,0,0,0,0,27,0,30,152,
"Billinudgel",9,70,0,0,0,5,92,0,38,215,
"Billys Creek",0,23,0,0,0,0,32,0,7,56,
"Billywillinga",0,134,0,0,0,0,46,0,15,194,
"Bilpin",12,366,0,0,0,0,195,7,87,666,
"Bimberi",0,0,0,0,0,0,0,0,0,0,
"Bimbi",0,76,0,0,0,0,16,0,26,116,
"Bimbimbie",3,50,0,0,0,0,58,0,9,120,
"Binalong",0,355,0,0,0,7,126,5,47,543,
"Binda",0,172,0,0,0,0,47,0,61,281,
"Bindera",0,16,0,0,0,0,6,0,9,30,
"Bingara",0,1043,0,0,4,0,216,0,161,1427,
"Bingeebeebra Creek",0,12,0,0,0,0,4,0,8,34,
"Bingie",4,78,0,0,0,0,92,0,21,199,
"Bingleburra",0,9,0,0,0,0,14,0,0,26,
"Biniguy",0,86,0,0,0,0,30,0,38,148,
"Binjura",3,173,0,0,0,3,97,6,30,322,
"Binna Burra (NSW)",0,76,0,0,0,3,103,0,36,218,
"Binnaway",0,379,0,0,0,0,150,0,73,605,
"Binya",0,115,0,0,0,0,22,0,3,140,
"Birchgrove",43,1314,15,12,21,9,1506,27,352,3302,
"Birdwood (NSW)",0,22,0,0,0,0,10,4,13,43,
"Birganbigil",0,41,0,0,0,0,12,0,4,51,
"Birmingham Gardens",60,1013,16,142,0,23,918,27,175,2374,
"Birriwa",0,34,0,0,0,0,6,0,12,54,
"Birrong",510,1239,19,565,0,8,496,3,259,3104,
"Bishops Bridge",0,152,0,0,0,0,54,0,41,249,
"Bithramere",0,127,0,0,0,0,27,0,27,174,
"Black Creek (Port Macquarie-Hastings - NSW)",0,24,0,0,0,0,18,0,0,50,
"Black Creek (Snowy Valleys - NSW)",0,12,0,0,0,0,8,0,0,21,
"Black Head",12,555,0,0,0,0,218,0,62,853,
"Black Hill (NSW)",0,348,10,0,0,6,155,0,52,561,
"Black Hollow",0,17,0,0,0,0,3,0,0,19,
"Black Mountain (NSW)",5,208,0,0,0,3,60,0,33,308,
"Black Range (NSW)",3,93,0,0,0,0,74,0,31,202,
"Black Springs (NSW)",0,159,0,0,0,0,33,0,32,224,
"Blackalls Park",17,1701,0,0,0,13,849,13,157,2756,
"Blackbutt (NSW)",32,2294,9,71,0,7,651,13,226,3298,
"Blackett",21,2073,38,130,4,19,754,16,389,3446,
"Blackheath",100,1852,10,13,10,35,1920,30,435,4395,
"Blackmans Flat",0,10,0,0,0,0,3,0,12,26,
"Blackmans Point",0,117,0,0,0,3,30,0,17,168,
"Blacksmiths",28,1105,0,0,0,10,596,7,105,1843,
"Blacktown",846,23472,5824,3481,19,3204,6738,158,3431,47172,
"Blackville",0,53,0,0,0,0,37,0,23,114,
"Blackwall (NSW)",23,1125,5,3,9,7,554,3,163,1892,
"Blair Athol (NSW)",229,1701,172,265,3,32,340,4,121,2881,
"Blairmount",14,243,22,15,0,0,93,0,28,421,
"Blakebrook",0,97,0,0,0,0,35,5,11,150,
"Blakehurst",208,4003,73,262,25,20,1219,9,410,6219,
"Blakney Creek",0,39,0,0,0,0,17,0,5,64,
"Bland",0,34,0,0,0,0,0,0,9,43,
"Blandford",0,136,0,0,0,0,34,0,12,182,
"Blaxland (NSW)",46,4526,12,9,13,31,2309,46,467,7449,
"Blaxlands Creek",0,69,0,0,0,0,37,0,16,118,
"Blaxlands Ridge",3,291,0,0,0,4,135,5,70,503,
"Blayney",12,2393,11,5,0,11,661,13,281,3377,
"Bligh Park",26,4347,16,26,0,17,1625,25,282,6360,
"Blighty",0,90,0,0,0,0,38,0,7,138,
